uniprot	gene	inchikey	smiles
P37288	AVPR1A	KSNUCNRMDYJBKT-UHFFFAOYSA-N	CC(=O)NCCCOc1ccc(C(=O)N2CCC(N3C(=O)CCc4ccccc43)CC2)cc1
P37288	AVPR1A	OFQCVYOFPPDYDD-XIFFEERXSA-N	CN(C)CCNC(=O)C1=C[C@@]2(CC1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3F)cc1)c1ccccc1C2
P37288	AVPR1A	IEENMDADGAZPAM-UHFFFAOYSA-N	CCC(C)C1C(=O)N2NCCCC2C(=O)N2NCCCC2C(=O)N(C)C(Cc2ccccc2)C(=O)N2CCCC2C(=O)NC(Cc2ccccc2)C(=O)N1O
P37288	AVPR1A	VWXRQYYUEIYXCZ-OBIMUBPZSA-N	CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1
P37288	AVPR1A	QVQOGNOOAMQKCE-ZTYVOHGWSA-N	COc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccccc3)NC2=O)cc1
P37288	AVPR1A	KBZOIRJILGZLEJ-UHFFFAOYSA-N	N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
P37288	AVPR1A	KBZOIRJILGZLEJ-LGYYRGKSSA-N	N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
P37288	AVPR1A	QZGGATRCENWZPA-UHFFFAOYSA-N	CN1Cc2cc(Cl)ccc2-n2c(nnc2C2CCN(C(=O)c3ccc4cc[nH]c4c3)CC2)C1
P37288	AVPR1A	CEBYCSRFKCEUSW-UHFFFAOYSA-N	COc1ccc(S(=O)(=O)N2c3ccc(Cl)cc3C(O)(c3ccccc3Cl)C2C(=O)N2CCCC2C(N)=O)cc1OC
P37288	AVPR1A	QZXVLRCMAHJVIP-UHFFFAOYSA-N	CN(C)CCn1cc(C(=O)N2CCC3(CC2)OCc2ccccc23)c2ccc(Cl)cc21
