uniprot	gene	inchikey	smiles
P41595	HTR2B	DBGIVFWFUFKIQN-UHFFFAOYSA-N	CCNC(C)Cc1cccc(C(F)(F)F)c1
P41595	HTR2B	IENZFHBNCRQMNP-UHFFFAOYSA-N	N#Cc1cc(CN2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F
P41595	HTR2B	HOVMHIRTZYQSKM-UHFFFAOYSA-N	Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2
P41595	HTR2B	NBQUWOCIFFHZTM-UHFFFAOYSA-N	N=c1[nH]c(-c2cccc3ccccc23)cs1
P41595	HTR2B	VHFVKMTVMIZMIK-UHFFFAOYSA-N	Clc1cccc(N2CCNCC2)c1
P41595	HTR2B	YASBOGFWAMXINH-JSGCOSHPSA-N	CN1CC[C@H]2CN3CCc4cccc(c43)[C@H]2C1
P41595	HTR2B	ALFGDCNSEBJYSP-UHFFFAOYSA-N	CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12
P41595	HTR2B	USFUFHFQWXDVMH-UHFFFAOYSA-N	Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1
P41595	HTR2B	KORNTPPJEAJQIU-KJXAQDMKSA-N	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
P41595	HTR2B	QJQORSLQNXDVGE-UHFFFAOYSA-N	Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1
P41595	HTR2B	JJCFRYNCJDLXIK-UHFFFAOYSA-N	CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
P41595	HTR2B	NIDVDYQCGWISJZ-UHFFFAOYSA-N	Cn1c(=O)c2c(ncn2CCN2CCN(c3ccccc3Cl)CC2)n(C)c1=O
P41595	HTR2B	JOAHPSVPXZTVEP-YXJHDRRASA-N	CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
P41595	HTR2B	QUSLYAPLTMMCFE-UHFFFAOYSA-N	CC(C)N1Cc2cc(S(C)(=O)=O)ccc2N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)S1(=O)=O
P41595	HTR2B	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
