uniprot	gene	inchikey	smiles
P42336	PIK3CA	DTIZKDMQUYFSRE-ZDUSSCGKSA-N	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C2(C)CC2)c1
P42336	PIK3CA	BURJZXYDAYWVQP-UHFFFAOYSA-N	Nc1ncc(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)c(N)n1
P42336	PIK3CA	QDITZBLZQQZVEE-YBEGLDIGSA-N	O=C1NC(=O)/C(=C/c2ccc3nccc(-c4ccncc4)c3c2)S1
P42336	PIK3CA	CWHUFRVAEUJCEF-UHFFFAOYSA-N	Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1
P42336	PIK3CA	JEGHXKRHKHPBJD-UHFFFAOYSA-N	CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21
P42336	PIK3CA	YMQHMPUWBKBXEA-UHFFFAOYSA-N	COc1ccc(Nc2cc(-c3cccc(O)c3)nc(N3CCOCC3)n2)cn1
P42336	PIK3CA	LIWXQSMSAZJCQT-LBPRGKRZSA-N	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C)n1
P42336	PIK3CA	LHNIIDJUOCFXAP-UHFFFAOYSA-N	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
P42336	PIK3CA	WNEKFVMVOWZCDM-OTYXRUKQSA-N	C[C@@H]1CCN(C(=O)Nc2nc3c(s2)-c2cc(C(C)(C)C(F)(F)F)ncc2OC3)[C@@H]1C(N)=O
P42336	PIK3CA	STUWGJZDJHPWGZ-LBPRGKRZSA-N	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1
P42336	PIK3CA	VGCWHUUHLIBYFK-UHFFFAOYSA-N	CCn1cc(-n2c(=O)n(C)c3cnc4ccc(-c5cnc(COC)c(NC)c5)cc4c32)c(C)n1
P42336	PIK3CA	YWDAJLXJSLKKPA-UHFFFAOYSA-N	Cc1ncc(-c2ccc3ncc4c(c3c2)n(-c2cn(C)nc2C)c(=O)n4C)cc1OC(C)C
P42336	PIK3CA	JKMWINSPNJPJSO-UHFFFAOYSA-N	Cc1nn(C)cc1-n1c(=O)n(C)c2cnc3ccc(-c4cncc(OC(C)C)c4)cc3c21
P42336	PIK3CA	XDLYKKIQACFMJG-WKILWMFISA-N	COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1
P42336	PIK3CA	DWZAEMINVBZMHQ-UHFFFAOYSA-N	CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1
P42336	PIK3CA	LEOIKBCGRYIEBD-UHFFFAOYSA-N	CNC(=O)c1ccc(-c2ccc3ncc4c(c3c2)n(-c2cn(C)nc2Cl)c(=O)n4C)cc1
P42336	PIK3CA	GYLDXIAOMVERTK-UHFFFAOYSA-N	CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21
P42336	PIK3CA	MPZUHFMONDTNMH-UHFFFAOYSA-N	Cn1c(=O)n(-c2ccc(C3(C#N)CC3)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
P42336	PIK3CA	OCQPKQVXUZWWQU-UHFFFAOYSA-N	COc1ncc(-c2ccc3ncc4c(c3c2)n(-c2cn(C(C)C)nc2C)c(=O)n4C)c(OC)n1
P42336	PIK3CA	XTDZQFNXZCQIIJ-UHFFFAOYSA-N	CCNc1cc(-c2ccc3ncc4c(c3c2)n(-c2cn(CC)nc2C)c(=O)n4C)cnc1COC
P42336	PIK3CA	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
P42336	PIK3CA	GVPAGJWVBUZHNQ-UHFFFAOYSA-N	Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)(C)C#N)cc1
P42336	PIK3CA	ISHNPDWTQUXPSY-UHFFFAOYSA-N	Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21
