uniprot	gene	inchikey	smiles
P42338	PIK3CB	IRTDIKMSKMREGO-UHFFFAOYSA-N	Cc1cc(C(C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1
P42338	PIK3CB	XTKLTGBKIDQGQL-UHFFFAOYSA-N	Cc1c(Cn2c(C)nc3c(C(=O)O)cc(N4CCOCC4)cc32)cccc1C(F)(F)F
P42338	PIK3CB	CPRAGQJXBLMUEL-UHFFFAOYSA-N	Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1
P42338	PIK3CB	JEGHXKRHKHPBJD-UHFFFAOYSA-N	CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21
P42338	PIK3CB	LHNIIDJUOCFXAP-UHFFFAOYSA-N	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
P42338	PIK3CB	VGCWHUUHLIBYFK-UHFFFAOYSA-N	CCn1cc(-n2c(=O)n(C)c3cnc4ccc(-c5cnc(COC)c(NC)c5)cc4c32)c(C)n1
P42338	PIK3CB	YWDAJLXJSLKKPA-UHFFFAOYSA-N	Cc1ncc(-c2ccc3ncc4c(c3c2)n(-c2cn(C)nc2C)c(=O)n4C)cc1OC(C)C
P42338	PIK3CB	JKMWINSPNJPJSO-UHFFFAOYSA-N	Cc1nn(C)cc1-n1c(=O)n(C)c2cnc3ccc(-c4cncc(OC(C)C)c4)cc3c21
P42338	PIK3CB	LEOIKBCGRYIEBD-UHFFFAOYSA-N	CNC(=O)c1ccc(-c2ccc3ncc4c(c3c2)n(-c2cn(C)nc2Cl)c(=O)n4C)cc1
P42338	PIK3CB	OCQPKQVXUZWWQU-UHFFFAOYSA-N	COc1ncc(-c2ccc3ncc4c(c3c2)n(-c2cn(C(C)C)nc2C)c(=O)n4C)c(OC)n1
P42338	PIK3CB	XTDZQFNXZCQIIJ-UHFFFAOYSA-N	CCNc1cc(-c2ccc3ncc4c(c3c2)n(-c2cn(CC)nc2C)c(=O)n4C)cnc1COC
P42338	PIK3CB	ISHNPDWTQUXPSY-UHFFFAOYSA-N	Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21
