uniprot	gene	inchikey	smiles
P42574	CASP3	YQNRVGJCPCNMKT-LFVJCYFKSA-N	C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O
P42574	CASP3	PKOUAUWPBMZQCH-FQEVSTJZSA-N	O=C1C(=O)N(Cc2ccccc2)c2ccc(S(=O)(=O)N3CCC[C@H]3COc3ccccc3)cc21
P42574	CASP3	ZMZRKOASUWINDA-VEABSNGSSA-N	CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C=O)CC(=O)O
P42574	CASP3	VYYRFBRPGFAPCM-UHFFFAOYSA-N	FC(F)(F)c1ccc2c(c1)N(CCCN1CCNCC1)c1ccccc1S2
P42574	CASP3	GXJABQQUPOEUTA-RDJZCZTQSA-N	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
P42574	CASP3	HUWWIHVYVDAXCT-UHFFFAOYSA-N	N#Cc1nc2c(nc1C#N)-c1ccccc1C2=O
P42574	CASP3	YJGVMLPVUAXIQN-HAEOHBJNSA-N	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
P42574	CASP3	ZGLXUQQMLLIKAN-SVIJTADQSA-N	COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC
P42574	CASP3	SLPOZBYDRWPSBE-UHFFFAOYSA-N	O=C(O)c1cc2cc(O)ccc2oc1=O
P42574	CASP3	SCVHJVCATBPIHN-SJCJKPOMSA-N	C[C@H](NC(=O)C(=O)Nc1ccccc1C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F
P42574	CASP3	RZEKVGVHFLEQIL-UHFFFAOYSA-N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
