uniprot	gene	inchikey	smiles
P42684	ABL2	PHXJVRSECIGDHY-UHFFFAOYSA-N	Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
P42684	ABL2	HHZIURLSWUIHRB-UHFFFAOYSA-N	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
P42684	ABL2	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
P42684	ABL2	OUKYUETWWIPKQR-UHFFFAOYSA-N	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1
P42684	ABL2	WEVYNIUIFUYDGI-UHFFFAOYSA-N	NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1
P42684	ABL2	LARFZNXVNANWFD-MRXNPFEDSA-N	O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cncnc2)c1
P42684	ABL2	IIQUYGWWHIHOCF-UHFFFAOYSA-N	O=C(NCCO)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1
P42684	ABL2	MCBPHFHTGOTFPN-UHFFFAOYSA-N	Cc1cn(-c2cc(NC(=O)c3cccc4cc(Oc5ccnc(NC(=O)C6CC6)c5)ccc34)cc(C(F)(F)F)c2)cn1
P42684	ABL2	ZIQFYVPVJZEOFS-UHFFFAOYSA-N	Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21
P42684	ABL2	UPCODGKQZAKIAC-UHFFFAOYSA-N	Nc1ccc(-c2cc3c(N4CCCc5ccccc54)ncnc3[nH]2)cc1
P42684	ABL2	AZGIWMKLPRJOPT-UHFFFAOYSA-N	Cc1nc2c(-c3cccc(N4CCN(C)CC4)c3)cnn2c(N)c1-c1ccc(F)cc1
P42684	ABL2	GJINDJNJRPIQNH-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)N(C)c4ncnc5[nH]ccc45)c3)cc2C(F)(F)F)CC1
P42684	ABL2	ZVPDNRVYHLRXLX-UHFFFAOYSA-N	Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
