uniprot	gene	inchikey	smiles
P48058	GRIA4	WIWBGWRWQPAKBS-UHFFFAOYSA-N	O=C(O)C1CCN(Cc2cc([N+](=O)[O-])cc3nc(O)c(O)nc23)CC1
P48058	GRIA4	UUDAMDVQRQNNHZ-UHFFFAOYSA-N	Cc1o[nH]c(=O)c1CC(N)C(=O)O
P48058	GRIA4	WOAGSQCIFSCNIH-ZETCQYMHSA-N	CCN(Cc1cc([N+](=O)[O-])cc2[nH]c(=O)c(=O)[nH]c12)[C@H](C)P(=O)(O)O
P48058	GRIA4	RWVIMCIPOAXUDG-UHFFFAOYSA-N	O=[N+]([O-])c1cc2nc(O)c(O)nc2cc1[N+](=O)[O-]
P48058	GRIA4	WHUUTDBJXJRKMK-GSVOUGTGSA-N	N[C@H](CCC(=O)O)C(=O)O
P48058	GRIA4	PRMWGUBFXWROHD-UHFFFAOYSA-N	N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O
P48058	GRIA4	JACAAXNEHGBPOQ-LLVKDONJSA-N	CC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2C[C@H]1C)OCO3
P48058	GRIA4	ABFMMCZFKUIJGQ-UHFFFAOYSA-N	O=[N+]([O-])c1cc(CNCP(=O)(O)O)c2nc(O)c(O)nc2c1
P48058	GRIA4	JDNMYUBSFDGCSX-UHFFFAOYSA-N	Cc1onc(C(=O)O)c1CC(N)C(=O)O
P48058	GRIA4	GMZVRMREEHBGGF-UHFFFAOYSA-N	NC(=O)CN1CCCC1=O
P48058	GRIA4	BDCMBYGTKWTEOB-UHFFFAOYSA-N	CN1CCc2c(-c3ccccc3)cc3c(c2C1)=NC(=O)C=3NO
P48058	GRIA4	ANDGGVOPIJEHOF-UHFFFAOYSA-N	O=C(c1ccc2nccnc2c1)N1CCCCC1
P48058	GRIA4	BXBNADAPIHHXJQ-UHFFFAOYSA-N	O=C(c1ccc2c(c1)OCO2)N1CCCCC1
P48058	GRIA4	UNIHFYPVOQQXMQ-UHFFFAOYSA-N	C=CCN(c1ccc(C)cc1)c1nc(=O)c2cccnc2s1
P48058	GRIA4	KJADKKWYZYXHBB-XBWDGYHZSA-N	CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
