uniprot	gene	inchikey	smiles
P48736	PIK3CG	SQWAXHGWLCYBIN-UHFFFAOYSA-N	CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(-n3ccnc3)c2)s1
P48736	PIK3CG	NUTDKFGHUBYHFK-UHFFFAOYSA-N	CC(=O)Nc1nc(C)c(-c2csc(Nc3cccnc3)n2)s1
P48736	PIK3CG	DKZGKUZHMHEHBU-UHFFFAOYSA-N	Cc1nc(NC(=O)NCC(=O)N(C)C)sc1-c1ccc(S(C)(=O)=O)c(F)c1
P48736	PIK3CG	WBQNJPBYOGNEQC-UHFFFAOYSA-N	CCn1nnc(CCNC(=O)Nc2nc(C)c(-c3ccc(S(C)(=O)=O)c(F)c3)s2)n1
P48736	PIK3CG	PJSOHQYOAVQLMP-UHFFFAOYSA-N	Cc1cc(-c2cc(-c3cc(S(=O)(=O)NCC(C)(C)O)ccc3C)cnc2N)on1
P48736	PIK3CG	UQIUWUJYJBQZBY-UHFFFAOYSA-N	Cc1ncc(-c2cc(-c3cc(S(=O)(=O)NCC(C)(C)O)ccc3C)cnc2N)o1
P48736	PIK3CG	XUMALORDVCFWKV-IBGZPJMESA-N	C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1
P48736	PIK3CG	TYLTZPAGUBOPCU-UHFFFAOYSA-N	Cc1ccccc1-n1c(Cn2nc(-c3ccc(O)c(F)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O
P48736	PIK3CG	GHKMIOAEPALCFS-UHFFFAOYSA-N	Cc1ccc2c(c1)C(=O)N(C)c1cnc(Nc3cccc(S(=O)(=O)N4CCC(O)CC4)c3)nc1N2C
P48736	PIK3CG	DWZAEMINVBZMHQ-UHFFFAOYSA-N	CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1
P48736	PIK3CG	JEGHXKRHKHPBJD-UHFFFAOYSA-N	CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21
P48736	PIK3CG	GYLDXIAOMVERTK-UHFFFAOYSA-N	CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21
P48736	PIK3CG	JKMWINSPNJPJSO-UHFFFAOYSA-N	Cc1nn(C)cc1-n1c(=O)n(C)c2cnc3ccc(-c4cncc(OC(C)C)c4)cc3c21
