uniprot	gene	inchikey	smiles
P49768	PSEN1	VFCRKLWBYMDAED-REWPJTCUSA-N	CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1
P49768	PSEN1	PSXOKXJMVRSARX-SCSAIBSYSA-N	O=S(=O)(N[C@H](CO)C(C(F)(F)F)C(F)(F)F)c1ccc(Cl)s1
P49768	PSEN1	XEAOPVUAMONVLA-QGZVFWFLSA-N	NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1
P49768	PSEN1	ULSSJYNJIZWPSB-CVRXJBIPSA-N	C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@@H]1C(=O)N(C)c2ccccc2-c2ccccc21
P49768	PSEN1	IZAOBRWCUGOKNH-OAHLLOKOSA-N	C[C@H](c1ccc(F)cc1CCCC(=O)O)N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1
P49768	PSEN1	PKXWXXPNHIWQHW-RCBQFDQVSA-N	CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21
P49768	PSEN1	DWJXYEABWRJFSP-XOBRGWDASA-N	C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H](C(=O)OC(C)(C)C)c1ccccc1
P49768	PSEN1	AYOUDDAETNMCBW-GSHUGGBRSA-N	CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C(c2ccccc2)c2ccccc21
P49768	PSEN1	NMZBOFGYKWSRMA-UHFFFAOYSA-N	O=S(=O)(c1ccc(F)cc1)N(Cc1ccccc1OC1CCOCC1)c1cc(F)ccc1F
P49768	PSEN1	OJPLJFIFUQPSJR-INIZCTEOSA-N	CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@@H]1C(=O)Nc2ccccc2-c2ccccc21
