uniprot	gene	inchikey	smiles
P49840	GSK3A	JCSGFHVFHSKIJH-UHFFFAOYSA-N	Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21
P49840	GSK3A	AQGNHMOJWBZFQQ-UHFFFAOYSA-N	Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1
P49840	GSK3A	HSFYCTPGOPYGHQ-LJQANCHMSA-N	CC1(C)CC(=O)C2=C(C1)Nc1n[nH]c(C(F)(F)F)c1[C@]2(C)c1ccccc1
P49840	GSK3A	NCKLQXXBRWCYMA-FQEVSTJZSA-N	CC[C@@]1(c2ccccc2)C2=C(CC(C)(C)CC2=O)Nc2n[nH]cc21
P49840	GSK3A	PQCXVIPXISBFPN-UHFFFAOYSA-N	O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1
P49840	GSK3A	YBNROIWEBSZURX-UHFFFAOYSA-N	COCC(=O)N(CC(N)=O)c1nc(NCc2ccc(C(F)(F)F)cc2)c2ncn(C)c2n1
P49840	GSK3A	PWWHQERJKXLERO-UHFFFAOYSA-N	Cc1cccc(NC(=O)Nc2cccc3c2C2CCCCN2C3=O)n1
P49840	GSK3A	RQFYFNAGNBUGFC-UHFFFAOYSA-N	COc1ccc(-c2ocnc2C(=O)NCCCn2cncn2)cc1Cl
P49840	GSK3A	GVWNNKNAVOPJNV-UHFFFAOYSA-N	Cc1cc(C)cc(Nc2nccc(-c3nccs3)n2)c1
P49840	GSK3A	WOUDPYBESPZALS-UHFFFAOYSA-N	O=C1Cc2c([nH]c3ccncc23)-c2ccccc2N1
