uniprot	gene	inchikey	smiles
P49841	GSK3B	QPKKAIMODKGHRH-UHFFFAOYSA-N	CCN(Cc1cccc(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)c1)C(C)C
P49841	GSK3B	YPHMISFOHDHNIV-FSZOTQKASA-N	C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1
P49841	GSK3B	CLGRAWDGLMENOD-UHFFFAOYSA-N	CC(C)(O)C(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1
P49841	GSK3B	PMJIHLSCWIDGMD-UHFFFAOYSA-N	O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1
P49841	GSK3B	IFMJXLLSGLDSMX-SNVBAGLBSA-N	C[C@@H]1COCCN1c1nc(-c2ccncc2F)cc(=O)n1C
P49841	GSK3B	RQFYFNAGNBUGFC-UHFFFAOYSA-N	COc1ccc(-c2ocnc2C(=O)NCCCn2cncn2)cc1Cl
P49841	GSK3B	KLSRELDSEJWOAS-UHFFFAOYSA-N	CN1CCN(c2ccc(NCCNc3ccc([N+](=O)[O-])c(N)n3)nc2-c2ccc(Cl)cc2Cl)C(=O)C1
P49841	GSK3B	YZRXTIGAQRIAEX-XMMPIXPASA-N	CC(C)(C)Cc1[nH]nc2c1[C@](C)(c1ccccc1)C1=C(CC(C)(C)CC1=O)N2
P49841	GSK3B	AQGNHMOJWBZFQQ-UHFFFAOYSA-N	Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1
P49841	GSK3B	UZIATSFXNVOVFE-OAHLLOKOSA-N	CC(C)Oc1ccc(F)c(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC[C@@H](C(=O)O)C3)n2)c1
P49841	GSK3B	PQCXVIPXISBFPN-UHFFFAOYSA-N	O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1
P49841	GSK3B	XYSJVXMQSXKJCN-UHFFFAOYSA-N	COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(=O)NCCCNc1c2c(nc3ccccc13)CCCC2
