uniprot	gene	inchikey	smiles
P56817	BACE1	LHBBUGLYVFZUTH-GXVHRJHYSA-N	CC(C)c1cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N2)c1
P56817	BACE1	JIBQVJZSWQNHLX-QHCPKHFHSA-N	COc1ccc([C@@]2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C
P56817	BACE1	JIBQVJZSWQNHLX-HSZRJFAPSA-N	COc1ccc([C@]2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C
P56817	BACE1	VPNIQGRFZCTBEZ-SPTGULJVSA-N	C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1
P56817	BACE1	BQFHTVUWPJXLOW-VQTJNVASSA-N	Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c1
P56817	BACE1	DHIZXRDJXNCTKQ-IBGZPJMESA-N	Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C(F)F)COCC(N)=N2)c1
P56817	BACE1	FIUDDEQHPBHZBI-AEPNJDANSA-N	COC[C@@H](Oc1cc(C[C@@H]2C[S+]([O-])C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F
P56817	BACE1	BBTMSQSMAGSWCB-UHFFFAOYSA-N	CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)COCC(N)=N1
P56817	BACE1	JIAYOIBUKDISBO-IYPIGGPWSA-N	Cc1cc([C@H]2C[C@H]3[C@@H](CF)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)on1
P56817	BACE1	MJQMRGWYPNIERM-HNNXBMFYSA-N	C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1
P56817	BACE1	ORHZQSYKGHHDOP-IBGZPJMESA-N	C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=C(CF)OC(N)=N1
P56817	BACE1	MNENNUUKHSBOKZ-BEOVBFIISA-N	CC(C)c1ccc2c(c1)[C@@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)CC(C)(C)O2
P56817	BACE1	HGHFHFDOPKORCS-TVNUBGQTSA-N	COCCCN1CCOc2ccc(CO[C@H]3CNC[C@@H](CO)[C@@H]3c3ccc(COC[C@@H](C)COC)cc3)cc21
P56817	BACE1	YHCNHDIDECZSCA-AGHHOFFYSA-N	CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(O)c(Br)c3)[C@@H]2O)c1
P56817	BACE1	GCZHKZTYTMTFGU-JHOUSYSJSA-N	COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2
