uniprot	gene	inchikey	smiles
Q04759	PRKCQ	OKSSCZFPRININV-UHFFFAOYSA-N	Cn1cc(C2=C(c3nc(N4CCNC5(CC5)C4)cc4ccccc34)C(=O)NC2=O)c2ccccc21
Q04759	PRKCQ	DZIUPOCVDSYPSY-UHFFFAOYSA-N	Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCN(C)CC4)ccc3o2)ccc2[nH]ccc12
Q04759	PRKCQ	HXWARSZQGAFXJM-MGPUTAFESA-N	CC(C)[C@@](C)(O)[C@@H]1CN(c2nc(-c3n[nH]c4ncccc34)c(F)cc2Cl)CCN1
Q04759	PRKCQ	BYDKAYRDAFQMFD-ZMSDIMECSA-N	COc1ccc(-c2cc3c(cc2[C@@H]2CCN(C)C[C@@H]2C)N2C(=NNC(=O)[C@H]2C)CO3)c(F)c1
Q04759	PRKCQ	WALDOGJQTYJBFG-AATRIKPKSA-N	Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCOCC3)n2)ccc2[nH]ccc12
Q04759	PRKCQ	GAANRNOWRTWFGY-MXVIHJGJSA-N	Cc1c(CNc2ncc([N+](=O)[O-])c(NC[C@H]3CC[C@H](CN)CC3)n2)cccc1-c1cccc(CN)c1
Q04759	PRKCQ	ZAMRSWLAFWYDLO-WGSAOQKQSA-N	NCc1cccc(-c2cccc(CNc3ncc([N+](=O)[O-])c(NC[C@H]4CC[C@H](CN)CC4)n3)c2)c1
Q04759	PRKCQ	WNYKGJHEQVIFGL-OAHLLOKOSA-N	C[C@H](c1ccccc1)N1c2cc(-n3c(=O)[nH]c4ncccc43)ccc2C(=O)NC1(C)C
Q04759	PRKCQ	PNQSEVRUOUYXCQ-LLVKDONJSA-N	O=c1[nH]c2cnc(NC[C@@H]3CCNC3)nc2n1Cc1ccccc1OC(F)(F)F
Q04759	PRKCQ	VDDALHSBRYGZDW-UHFFFAOYSA-N	Cn1cc(C2=C(c3nc(N4CCNC5(CC5)C4)nc4ccccc34)C(=O)NC2=O)c2ccccc21
Q04759	PRKCQ	BMGQWWVMWDBQGC-IIFHNQTCSA-N	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
Q04759	PRKCQ	HBZPKPRLRQUIHK-UHFFFAOYSA-N	CCN(CC)CCCNc1ccc2ncc(-c3cccc(Cl)c3)n2n1
Q04759	PRKCQ	FJHGPWNOEATILY-UHFFFAOYSA-N	NC(CNC(=O)C1(c2ccc(Cl)cc2)CC1)c1ccc(C(=O)Nc2ccncc2)cc1
Q04759	PRKCQ	ISHUULBGXOVLLF-UHFFFAOYSA-N	Nc1ncc(-c2ncccc2OC(F)(F)F)nc1C(=O)Nc1ncccc1N1CCC(N)CC1
Q04759	PRKCQ	OAVGBZOFDPFGPJ-UHFFFAOYSA-N	CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1
