uniprot	gene	inchikey	smiles
Q06124	PTPN11	ABVSYWGFUNXYAC-UHFFFAOYSA-N	O=C1Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc2/C1=N/Nc1cccc(C(=O)O)c1
Q06124	PTPN11	RATFAFAWIWHLMR-UHFFFAOYSA-N	Cn1c(-c2ccccc2)c(-c2cn(CCC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21
Q06124	PTPN11	UNFJLRCZNPDZMZ-UHFFFAOYSA-N	O=C1CN(Cc2ccccc2)S(=O)(=O)N1
Q06124	PTPN11	YGUFCDOEKKVKJK-UHFFFAOYSA-N	CC1(N)CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1
Q06124	PTPN11	OMJHHTRDBKAMSN-LLVKDONJSA-N	Nc1nc(N2CCC3(CC2)COC[C@H]3N)cnc1Sc1ccnc(N)c1Cl
Q06124	PTPN11	CQASZSQCUYWGME-CYBMUJFWSA-N	Nc1nccc(Sc2cnc(N3CCC4(CCC[C@H]4N)CC3)cn2)c1Cl
Q06124	PTPN11	ZVLLYAWRICTPLZ-GOSISDBHSA-N	Nc1nc(N2CCC3(CCC[C@H]3N)CC2)cnc1Sc1cccc(NC(=O)c2c(O)nc3ccccn3c2=O)c1Cl
Q06124	PTPN11	ILINPAZQNCUDMW-UHFFFAOYSA-N	Nc1nc(N2CCC3(CCCC3N)CC2)cnc1Sc1cccnc1C(F)(F)F
Q06124	PTPN11	VPCWGBLXOCIIMU-WCQYABFASA-N	Nc1nccc(Sc2cnc(N3CCC4(CC3)C[C@@H](O)C[C@H]4N)cn2)c1Cl
Q06124	PTPN11	VCACXGULTWUFOL-ZYHUDNBSSA-N	Nc1nc(N2CCC3(CC2)C[C@H](O)C[C@H]3N)cnc1Sc1ccnc(Cl)c1Cl
Q06124	PTPN11	QRCMRHHVLLNDAD-WCQYABFASA-N	C[C@H]1C[C@@H](N)C2(CCN(c3cnc(Sc4ccnc(N)c4Cl)c(N)n3)CC2)C1
Q06124	PTPN11	CUGFLOKHGAUBLN-UHFFFAOYSA-N	O=C1Nc2ccc(C(=O)O)cc2/C1=N/Nc1ccccc1C(=O)O
