uniprot	gene	inchikey	smiles
Q06187	BTK	XYFPWWZEPKGCCK-UHFFFAOYSA-N	C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
Q06187	BTK	CDOOFZZILLRUQH-GDLZYMKVSA-N	Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@@H]3C(=O)N(C)CCN3C)cc2)n1
Q06187	BTK	UVSVTDVJQAJIFG-VURMDHGXSA-N	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br
Q06187	BTK	KOMVUMRPJMRZLN-DBKQCEECSA-N	C/C=C/C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
Q06187	BTK	PSLXNEVDCJSLEL-UHFFFAOYSA-N	Cc1c(NC(=O)c2ccc(C(C)(C)O)cc2F)cc(F)cc1-c1ncnc2[nH]c(C3=CCOCC3)cc12
Q06187	BTK	ZTUJNJAKTLHBEX-UHFFFAOYSA-N	CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)cn(C)c3=O)nc2)CC1
Q06187	BTK	OSLWRSOLKHYZCC-UHFFFAOYSA-N	C=CC(=O)N1CC(Oc2c(N)ncnc2-c2cc(F)cc(NC(=O)c3ccc(C4CC4)cc3F)c2C)C1
Q06187	BTK	JIFCFQDXHMUPGP-UHFFFAOYSA-N	Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1
Q06187	BTK	KJRVCMVPIKELBC-LJQANCHMSA-N	C=CC(=O)N[C@@H]1Cn2c(c(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1=C
Q06187	BTK	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
