uniprot	gene	inchikey	smiles
Q07869	PPARA	YMTINGFKWWXKFG-UHFFFAOYSA-N	CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
Q07869	PPARA	WMBWREPUVVBILR-NQIIRXRSSA-N	O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
Q07869	PPARA	MBMBGCFOFBJSGT-KUBAVDMBSA-N	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
Q07869	PPARA	HPMIIRRRPQSYSS-JOCHJYFZSA-N	Cc1oc(-c2ccc(Cl)c(F)c2)nc1COc1cccc(C(C)(C)C(=O)N2CCC[C@@H]2C(=O)O)c1
Q07869	PPARA	HEMJJKBWTPKOJG-UHFFFAOYSA-N	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
Q07869	PPARA	DNHZIQUHIDDATB-UHFFFAOYSA-N	Cc1cc(OCc2nc(-c3ccc(OC(C)C)nc3)c(-c3ccc(OC(F)(F)F)cc3)o2)ccc1OCC(=O)O
Q07869	PPARA	YASAKCUCGLMORW-UHFFFAOYSA-N	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
Q07869	PPARA	CXGTZJYQWSUFET-IBGZPJMESA-N	CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O
Q07869	PPARA	IRLWJILLXJGJTD-UHFFFAOYSA-N	COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1
Q07869	PPARA	KVVODNUBDFULSC-XMMPIXPASA-N	Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1ccc(S(=O)(=O)N2c3ccccc3C[C@@H]2C(=O)O)cc1
Q07869	PPARA	SDMBRCRVFFHJKR-UHFFFAOYSA-N	CC(C)(CCCCOCCCCC(C)(C)C(=O)O)C(=O)O
Q07869	PPARA	IIBYAHWJQTYFKB-UHFFFAOYSA-N	CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
Q07869	PPARA	RMMXLENWKUUMAY-UHFFFAOYSA-N	CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
Q07869	PPARA	WUADCCWRTIWANL-UHFFFAOYSA-N	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
