uniprot	gene	inchikey	smiles
Q08493	PDE4C	RRRUXBQSQLKHEL-UHFFFAOYSA-N	COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1
Q08493	PDE4C	HJORMJIFDVBMOB-UHFFFAOYSA-N	COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
Q08493	PDE4C	XQYZDYMELSJDRZ-UHFFFAOYSA-N	COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
Q08493	PDE4C	MNDBXUUTURYVHR-UHFFFAOYSA-N	O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
Q08493	PDE4C	QTNUWEKKZHSUQO-UHFFFAOYSA-N	O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1
Q08493	PDE4C	YTFBNFMILWHYAP-UHFFFAOYSA-N	COC(=O)N1CC(c2ccc(OC)c(OC3CCCC3)c2)C(C)(C(C)=O)C1
Q08493	PDE4C	CFBUZOUXXHZCFB-UHFFFAOYSA-N	COc1ccc(C2(C#N)CCC(C(=O)O)CC2)cc1OC1CCCC1
Q08493	PDE4C	ZJVFLBOZORBYFE-UHFFFAOYSA-N	CC(C)C(=O)c1c(C(C)C)nn2ccccc12
Q08493	PDE4C	OTBXOEAOVRKTNQ-UHFFFAOYSA-N	O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1
Q08493	PDE4C	USZAGAREISWJDP-UHFFFAOYSA-N	N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1
Q08493	PDE4C	BBTFKAOFCSOZMB-UHFFFAOYSA-N	CNc1nc(-c2cccc(NC(=O)c3ccc(C(=O)OC)cc3)c2)c2cc(OC)c(OC)cc2n1
Q08493	PDE4C	ODCKPUDNMNCWMR-UHFFFAOYSA-N	Cc1ccc2[nH]c3nc(O)nc-3cc2c1C
