uniprot	gene	inchikey	smiles
Q08499	PDE4D	XWVBOPKUSVZZPJ-UHFFFAOYSA-N	O=C(O)C1CCC(c2cc3cccnc3c(-c3cccc(F)c3)n2)CC1
Q08499	PDE4D	IJALVDBOEUTVBN-UHFFFAOYSA-N	N#Cc1cccc(-c2nc(N3CCC(C(=O)O)CC3)cc3cccnc23)c1
Q08499	PDE4D	UGCRBILAPBGGAB-UHFFFAOYSA-N	COc1ccc(-c2ccncc2)cc1-c1ccc2nonc2c1
Q08499	PDE4D	ANIKIUAKBPWSRA-UHFFFAOYSA-N	COc1ccc(Cc2ccc(NC(N)=O)cc2)c(F)c1-c1cccc([N+](=O)[O-])c1
Q08499	PDE4D	XAKJIQPEGSCYIP-UHFFFAOYSA-N	C=C(C)Cn1c(SCC(=O)c2cccs2)nc2sc3c(c2c1=O)CCCC3
Q08499	PDE4D	NRJSHVPDELFHKB-UHFFFAOYSA-N	CCc1cc2cc(OCCO)c(OC)cc2c(-c2cc(OC(C)C)cc(OC(C)C)c2)n1
Q08499	PDE4D	JKGFOIGGPUTHIY-UHFFFAOYSA-N	CC1(C)Cc2c(c(N3CCOCC3)nc3sc4c(NCc5cccnc5)ncnc4c23)CO1
Q08499	PDE4D	ZJVFLBOZORBYFE-UHFFFAOYSA-N	CC(C)C(=O)c1c(C(C)C)nn2ccccc12
Q08499	PDE4D	USZAGAREISWJDP-UHFFFAOYSA-N	N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1
Q08499	PDE4D	BBTFKAOFCSOZMB-UHFFFAOYSA-N	CNc1nc(-c2cccc(NC(=O)c3ccc(C(=O)OC)cc3)c2)c2cc(OC)c(OC)cc2n1
