uniprot	gene	inchikey	smiles
Q12879	GRIN2A	XVMFFIALWXXWPW-UHFFFAOYSA-N	O=C(NCc1cccnc1)c1ccc(CNS(=O)(=O)c2ccc(F)cc2)cc1
Q12879	GRIN2A	XXZGNAZRWCBSBK-WFVOFKTRSA-N	C[C@H](NC(c1cccc2[nH]c(=O)c(=O)[nH]c12)P(=O)(O)O)c1ccc(Br)cc1
Q12879	GRIN2A	QEMSVZNTSXPFJA-HNAYVOBHSA-N	C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1
Q12879	GRIN2A	ATHGHQPFGPMSJY-UHFFFAOYSA-N	NCCCCNCCCN
Q12879	GRIN2A	WKGXYQFOCVYPAC-UHFFFAOYSA-N	NC(=O)OCC(COC(N)=O)c1ccccc1
Q12879	GRIN2A	BUGYDGFZZOZRHP-UHFFFAOYSA-N	CC12CC3CC(C)(C1)CC(N)(C3)C2
Q12879	GRIN2A	AFCGFAGUEYAMAO-UHFFFAOYSA-N	CC(=O)NCCCS(=O)(=O)O
Q12879	GRIN2A	IFLVGRRVGPXYON-UHFFFAOYSA-N	NC(=O)C12NC(Cc3ccccc31)c1ccccc12
Q12879	GRIN2A	JTJMJGYZQZDUJJ-UHFFFAOYSA-N	c1ccc(C2(N3CCCCC3)CCCCC2)cc1
Q12879	GRIN2A	WVZSEUPGUDIELE-HTAPYJJXSA-N	C[C@@H](CN1CCC(Cc2ccccc2)CC1)[C@@H](O)c1ccc(O)cc1
Q12879	GRIN2A	BDYHNCZIGYIOGJ-DUXPYHPUSA-N	C/C(=C\C(N)C(=O)O)CP(=O)(O)O
Q12879	GRIN2A	ZXUYYZPJUGQHLQ-UHFFFAOYSA-N	OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1
