uniprot	gene	inchikey	smiles
Q13224	GRIN2B	JJEXWPHPFZLTCU-UHFFFAOYSA-N	Oc1nc2cc(C#CCN3CCC(Cc4ccccc4)CC3)ccc2[nH]1
Q13224	GRIN2B	UYNVMODNBIQBMV-UHFFFAOYSA-N	CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
Q13224	GRIN2B	QEMSVZNTSXPFJA-HNAYVOBHSA-N	C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1
Q13224	GRIN2B	ATHGHQPFGPMSJY-UHFFFAOYSA-N	NCCCCNCCCN
Q13224	GRIN2B	WKGXYQFOCVYPAC-UHFFFAOYSA-N	NC(=O)OCC(COC(N)=O)c1ccccc1
Q13224	GRIN2B	BUGYDGFZZOZRHP-UHFFFAOYSA-N	CC12CC3CC(C)(C1)CC(N)(C3)C2
Q13224	GRIN2B	AFCGFAGUEYAMAO-UHFFFAOYSA-N	CC(=O)NCCCS(=O)(=O)O
Q13224	GRIN2B	IFLVGRRVGPXYON-UHFFFAOYSA-N	NC(=O)C12NC(Cc3ccccc31)c1ccccc12
Q13224	GRIN2B	WVZSEUPGUDIELE-HTAPYJJXSA-N	C[C@@H](CN1CCC(Cc2ccccc2)CC1)[C@@H](O)c1ccc(O)cc1
Q13224	GRIN2B	BDYHNCZIGYIOGJ-DUXPYHPUSA-N	C/C(=C\C(N)C(=O)O)CP(=O)(O)O
Q13224	GRIN2B	ZXUYYZPJUGQHLQ-UHFFFAOYSA-N	OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1
