uniprot	gene	inchikey	smiles
Q13255	GRM1	COQPVKMATNFNLG-UHFFFAOYSA-N	COc1ccc(-n2cnc3c(sc4nccc(N(C)C)c43)c2=O)cc1
Q13255	GRM1	SGIKDIUCJAUSRD-QMMMGPOBSA-N	Cc1cc(C(=O)O)ccc1[C@H](N)C(=O)O
Q13255	GRM1	BJYYRCRVWTWSJI-UHFFFAOYSA-N	O=c1c2cnn(-c3ccccc3)c2ncn1C1CCCCCCC1
Q13255	GRM1	ZKFVOZCCAXQXBU-UHFFFAOYSA-N	O=C(NC12CC3CC(CC(C3)C1)C2)c1cnc2ccccc2n1
Q13255	GRM1	LSTPKMWNRWCNLS-UHFFFAOYSA-N	NC1(C(=O)O)CCc2cc(C(=O)O)ccc21
Q13255	GRM1	WMCBPITWUUHVJB-UHFFFAOYSA-N	O=S(=O)(c1ccc(Cl)cc1)N1CCCC1c1cccs1
Q13255	GRM1	HHRZBUWNLICHOO-UHFFFAOYSA-N	Cc1ccoc1C(=O)Nc1ccc(N2C(=O)c3cccc(F)c3C2=O)c(Cl)c1
Q13255	GRM1	ASNFTDCKZKHJSW-UWTATZPHSA-N	N[C@H](Cn1oc(=O)[nH]c1=O)C(=O)O
Q13255	GRM1	ASNFTDCKZKHJSW-UHFFFAOYSA-N	NC(Cn1oc(=O)[nH]c1=O)C(=O)O
Q13255	GRM1	AFCGFAGUEYAMAO-UHFFFAOYSA-N	CC(=O)NCCCS(=O)(=O)O
