uniprot	gene	inchikey	smiles
Q13547	HDAC1	HRNLUBSXIHFDHP-UHFFFAOYSA-N	Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1
Q13547	HDAC1	RZVYEZFQIVSQNF-ZRFOIIEFSA-N	Cc1nn2ccccc2c1CCN1CCC[C@H]1c1ccc(/C=C/C(=O)NO)cc1
Q13547	HDAC1	NCNRHFGMJRPRSK-MDZDMXLPSA-N	O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
Q13547	HDAC1	WAEXFXRVDQXREF-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1ccccc1)NO
Q13547	HDAC1	INVTYAOGFAGBOE-UHFFFAOYSA-N	Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
Q13547	HDAC1	SGYJGGKDGBXCNY-ZDIDWYTNSA-N	CC1(C)NC(=O)[C@H](CCCCCC(=O)C2CO2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
Q13547	HDAC1	BVQCFCYPFJOOAV-UHFFFAOYSA-N	CCCCNNC(=O)c1ccc(Br)cc1
Q13547	HDAC1	RTKIYFITIVXBLE-WKWSCTOISA-N	CC(/C=C/C(=O)NO)=C\C(C)C(=O)c1ccc(N(C)C)cc1
Q13547	HDAC1	VJXBYUITQBTTQM-DSRNDQRRSA-N	CC[C@H](C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](CCSC)C(=O)N2)OC(=O)C[C@@H]1O
Q13547	HDAC1	VAZAPHZUAVEOMC-UHFFFAOYSA-N	CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1
Q13547	HDAC1	ZAIULUYKQLVQFH-UHFFFAOYSA-N	Nc1ccccc1NC(=O)CCCCCC(=O)Nc1ccccc1
Q13547	HDAC1	NIJJYAXOARWZEE-UHFFFAOYSA-N	CCCC(CCC)C(=O)O
