uniprot	gene	inchikey	smiles
Q14145	KEAP1	WPTTVJLTNAWYAO-KPOXMGGZSA-N	COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@](C)(CC[C@H]4C(C)(C)C(=O)C(C#N)=C[C@]34C)[C@]1(C)CC2
Q14145	KEAP1	PCMORTLOPMLEFB-ONEGZZNKSA-N	COc1cc(/C=C/C(=O)O)cc(OC)c1O
Q14145	KEAP1	LNENLABLFGGAFF-BHIFYINESA-N	O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O
Q14145	KEAP1	RJCWBNBKOKFWNY-IDPLTSGASA-N	CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1
Q14145	KEAP1	ZDNGJXBUEQNFBQ-GCJKJVERSA-N	COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12
Q14145	KEAP1	YWKFGWNTDPFJIZ-UHFFFAOYSA-N	CCc1ccc(COC(=O)C2=C(C)NC(C)=C(C(=O)OCc3ccc(CC)cn3)C2C2=COCCO2)nc1
Q14145	KEAP1	LDCRTTXIJACKKU-ONEGZZNKSA-N	COC(=O)/C=C/C(=O)OC
Q14145	KEAP1	WQIYQSZCGZPQSX-UHFFFAOYSA-N	CC(=O)Nc1ccc(S(=O)(=O)N(Cc2nnn[nH]2)c2ccc(N(Cc3nnn[nH]3)S(=O)(=O)c3ccc(NC(C)=O)cc3)c3ccccc23)cc1
Q14145	KEAP1	ITFBYYCNYVFPKD-FMIDTUQUSA-N	CC1(C)CC[C@]2(C(=O)n3ccnc3)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1
Q14145	KEAP1	QRYRORQUOLYVBU-VBKZILBWSA-N	CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2
