uniprot	gene	inchikey	smiles
Q14654	KCNJ11	ZJJXGWJIGJFDTL-UHFFFAOYSA-N	Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
Q14654	KCNJ11	BOVGTQGAOIONJV-UHFFFAOYSA-N	Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1
Q14654	KCNJ11	OELFLUMRDSZNSF-BRWVUGGUSA-N	CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
Q14654	KCNJ11	TVZCRIROJQEVOT-CABCVRRESA-N	CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O
Q14654	KCNJ11	GPTKKIOZEZUGBH-RTWAWAEBSA-N	CC1(C)Oc2ccc(S(=O)(=O)Nc3ccccc3)cc2[C@@H](N2CCCCC2=O)[C@@H]1O
Q14654	KCNJ11	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
Q14654	KCNJ11	WHXMKTBCFHIYNQ-SECBINFHSA-N	C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
Q14654	KCNJ11	GDLBFKVLRPITMI-UHFFFAOYSA-N	CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
Q14654	KCNJ11	JOWMTYWOBJALGB-KYZUINATSA-N	C[C@H]1CC[C@H](C(=O)CCC(=O)O)CC1
Q14654	KCNJ11	WIGIZIANZCJQQY-RUCARUNLSA-N	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
Q14654	KCNJ11	ALOBUEHUHMBRLE-UHFFFAOYSA-N	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
