uniprot	gene	inchikey	smiles
Q15910	EZH2	HNHUNRACMOTTER-UHFFFAOYSA-N	Cc1cc(C)c(CNC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)c(O)n1
Q15910	EZH2	ULNXAWLQFZMIHX-UHFFFAOYSA-N	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C
Q15910	EZH2	XQFINGFCBFHOPE-WXUXXXNLSA-N	CCN(c1cc(C#CCN2CCOCC2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)CCOC)CC1
Q15910	EZH2	FKSFKBQGSFSOSM-QFIPXVFZSA-N	CC[C@H](C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCNCC4)nc3)cc21
Q15910	EZH2	XHROKJJCFRMCBT-UHFFFAOYSA-N	CCN(c1scc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCC(N(C)C)CC1
Q15910	EZH2	LHGUZCKPFXXVPV-GOSISDBHSA-N	CCS(=O)(=O)N1CCC([C@@H](C)n2c(C)c(C(=O)NCc3c(OC)cc(C)[nH]c3=O)c3ccccc32)CC1
Q15910	EZH2	PDKDOPJQPKXNCT-UHFFFAOYSA-N	Cc1cc(C)c(CN2CCc3c(Cl)cc(-c4c(C)noc4C)c(Cl)c3C2=O)c(=O)[nH]1
Q15910	EZH2	PFHDWRIVDDIFRP-UHFFFAOYSA-N	CCC(CC)n1ccc2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(C#N)cc21
Q15910	EZH2	AVNQVPDWFUNVON-MEMLXQNLSA-N	CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1
Q15910	EZH2	NSQSAUGJQHDYNO-UHFFFAOYSA-N	CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
Q15910	EZH2	DPJNKUOXBZSZAI-UHFFFAOYSA-N	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C
