uniprot	gene	inchikey	smiles
Q16539	MAPK14	ODPGGGTTYSGTGO-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
Q16539	MAPK14	STRAIBOPIVXLQO-UHFFFAOYSA-N	Nc1nc(N)c(F)c(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)c1F
Q16539	MAPK14	CDMGBJANTYXAIV-UHFFFAOYSA-N	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
Q16539	MAPK14	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
Q16539	MAPK14	YKRHGHVJNYCHEN-UHFFFAOYSA-N	Cc1ccc(C(=O)NC2CC2)cc1-n1ncc(C(=O)c2ccccc2)c1N
Q16539	MAPK14	VGUSQKZDZHAAEE-UHFFFAOYSA-N	Cc1ccc(C(=O)NC2CC2)cc1-n1ncc(C(=O)c2cccc(C#N)c2)c1N
Q16539	MAPK14	NTPLIHVIDFWRGV-UHFFFAOYSA-N	CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1
Q16539	MAPK14	FPGRARCGULBHOH-UHFFFAOYSA-N	CN(C)CCNC(=O)CN1CCN(C(=O)c2sc(C(C)(C)C)cc2NC(=O)Nc2cccc(Cl)c2Cl)C(C)(C)C1=O
Q16539	MAPK14	MAOSUPNJVJGJEU-UHFFFAOYSA-N	Fc1ccc(-c2[nH]cnc2-c2ccncc2)cc1
Q16539	MAPK14	OAVQAUQHQJNYKR-UHFFFAOYSA-N	COc1ccc(C#CC(C)(C)N)cc1-c1[nH]nc2nc(Nc3ccc(F)cc3F)ncc12
Q16539	MAPK14	ZQIUCYZGBDPMLG-UHFFFAOYSA-N	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)c2ccc(OCC(O)CO)cc2)cc1
Q16539	MAPK14	VEPKQEUBKLEPRA-UHFFFAOYSA-N	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
Q16539	MAPK14	KCAJXIDMCNPGHZ-UHFFFAOYSA-N	CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1
Q16539	MAPK14	FYSRKRZDBHOFAY-UHFFFAOYSA-N	NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F
Q16539	MAPK14	QHKYPYXTTXKZST-UHFFFAOYSA-N	Oc1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1
Q16539	MAPK14	KAMAPKIQUKEGQC-UHFFFAOYSA-N	O=C(NCCN1CCOCC1)c1ccc2c(c1)C(=O)c1ccc(Nc3cc(NC(=O)c4cccs4)c(F)cc3F)cc1CC2
Q16539	MAPK14	OLWWIAFRNOFHTL-UHFFFAOYSA-N	CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1
