uniprot	gene	inchikey	smiles
Q693B1	REN	LBPUIWQYAGTBDC-LOSJGSFVSA-N	COCCCCC1(CNC(=O)[C@@H]2CNC[C@H](NS(=O)(=O)c3ccc(C)cc3)C2)c2ccccc2Oc2ccccc21
Q693B1	REN	ALDJQYJOXDCKFF-BHDDXSALSA-N	CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OCC)c(CC)cn2)C2CC2)C1
Q693B1	REN	YFDSDRDMDDGDFC-HOQQKOLYSA-N	CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H](Cc1ccccc1)CS(=O)(=O)N1CCN(C)CC1
Q693B1	REN	PHCCFIGNVNPMML-RPWUZVMVSA-N	COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2Cc2ccccc2)C(C)C)ccc1OC
Q693B1	REN	YOVGCKBDPOHLAV-CNIHBODFSA-N	CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2ccc(C(C)C)cn2)C2CC2)[C@@H]1O
Q693B1	REN	UXOWGYHJODZGMF-QORCZRPOSA-N	COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
Q693B1	REN	AOJMWYPUZRQUTK-PWRODBHTSA-N	CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OC)c(C(C)C)cn2)C2CC2)C1
Q693B1	REN	WPSURGXSNWIBBJ-BJKOFHAPSA-N	COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC
Q693B1	REN	YCTGZMYVONHILF-DNUNIWOASA-N	COCCCCOc1ccccc1C(=O)NC[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCC1CCN(C(C)=O)CC1)C(C)C)C(C)C
Q693B1	REN	RHIBAIKQWJNESW-YADHBBJMSA-N	COCCCCn1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)nc2ccccc21
Q693B1	REN	SJCJCASJIVJOFT-KYJUHHDHSA-N	CCc1ccc(C(=O)N(C[C@@H]2CNC[C@H]2CN(C(=O)CC2CCN(C(C)=O)CC2)C2CC2)C(C)C)cc1OCCCOC
Q693B1	REN	LZGAYELMXYIELY-NSOVKSMOSA-N	CCc1ccc(C(=O)N(C[C@@H]2CNC[C@H]2CN(C)C(=O)Cc2ccccc2)C(C)C)cc1OCCCOC
