uniprot	gene	inchikey	smiles
Q70Z44	HTR3D	DIHXJZHAIHGSAW-UHFFFAOYSA-N	NC(N)=N/C(N)=N/c1cccc(Cl)c1
Q70Z44	HTR3D	HKPHVFFQXHMOHX-UHFFFAOYSA-N	N=C(N)Nc1ccccc1Cl
Q70Z44	HTR3D	IUNFWMWQNWQIFS-UHFFFAOYSA-N	N=C(N)Nc1ccc(C(F)(F)F)cc1
Q70Z44	HTR3D	WLVCZYGIAIOYFH-UHFFFAOYSA-N	CN1CCN(c2nc3ccccc3c3c2CCCC3)CC1
Q70Z44	HTR3D	BUXACHZAYWAZJL-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1cc(Cl)cc(Cl)c1
Q70Z44	HTR3D	PKQYVFHRKFDVCH-UHFFFAOYSA-N	Cc1ccc(NC(=N)N)cc1
Q70Z44	HTR3D	PDOCNPCPPLPXRV-UHFFFAOYSA-N	Nc1nc2ccc(Cl)cc2[nH]1
Q70Z44	HTR3D	ILEIGUXOYKZHRK-UHFFFAOYSA-N	Cc1ccc(NC(=N)NC(=N)N)cc1
Q70Z44	HTR3D	VEFKMPXOOGXXSQ-UHFFFAOYSA-N	Cc1ccc2c(c1)nc(N1CCNCC1)n2Cc1ccccc1
Q70Z44	HTR3D	RDAXAGXJSCEYLT-UHFFFAOYSA-N	Clc1ccc2c(c1)nc(N1CCNCC1)n2Cc1ccccc1
Q70Z44	HTR3D	PXNBOFBSFXZTES-UHFFFAOYSA-N	N=C(N)Nc1cc(Cl)cc(Cl)c1
Q70Z44	HTR3D	ZJAWVBLMRPEUPW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc(Cl)c(Cl)c1
Q70Z44	HTR3D	NNRSVGLUJAPMQD-UHFFFAOYSA-N	N=C(N)Nc1ccc(Cl)c(Cl)c1
Q70Z44	HTR3D	HTYFFCPFVMJTKM-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc(Cl)cc1
Q70Z44	HTR3D	MKWFJPZMYHPQIA-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccccc1Cl
Q70Z44	HTR3D	VGFALHATLLBXIT-UHFFFAOYSA-N	COc1ccc(NC(=N)N)cc1
Q70Z44	HTR3D	LWLBVIFUVSUSAY-UHFFFAOYSA-N	c1ccc2cc(N3CCNCC3)ccc2c1
Q70Z44	HTR3D	XRXDAJYKGWNHTQ-UHFFFAOYSA-N	c1ccc2nc(N3CCNCC3)ccc2c1
Q70Z44	HTR3D	LIIRNJNGOKYCIP-UHFFFAOYSA-N	Cc1ccc(NC(=N)NC(=N)N)cc1Cl
Q70Z44	HTR3D	RDLIBCPWPNCFBW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc2ccccc2c1
Q70Z44	HTR3D	CFHPNABTZSOBQJ-UHFFFAOYSA-N	Cc1cccc(NC(=N)NC(=N)N)c1
Q70Z44	HTR3D	HASGWVOTHYCRIP-UHFFFAOYSA-N	N=C(N)Nc1ccc(Cl)c(C(F)(F)F)c1
Q70Z44	HTR3D	WEOIHIYCKWSSBW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1cccc([N+](=O)[O-])c1
Q70Z44	HTR3D	JZSPAHAWDCQCEX-UHFFFAOYSA-N	N=C(N)NCCc1cccc(Cl)c1
Q70Z44	HTR3D	FELGMEQIXOGIFQ-UHFFFAOYSA-N	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
Q70Z44	HTR3D	MFWNKCLOYSRHCJ-UHFFFAOYSA-N	CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
Q70Z44	HTR3D	FFNWMBDISAYHDC-UHFFFAOYSA-N	CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC
Q70Z44	HTR3D	WPVVMKYQOMJPIN-UHFFFAOYSA-N	NC1CCN(c2cccc(Cl)n2)CC1
Q70Z44	HTR3D	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
