uniprot	gene	inchikey	smiles
Q7Z2K8	GRIN1	VZXMZMJSGLFKQI-ABVWVHJUSA-N	O=C(O)[C@H]1CN(C/C=C/P(=O)(O)O)CCN1
Q7Z2K8	GRIN1	GGUSQTSTQSHJAH-UHFFFAOYSA-N	OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1
Q7Z2K8	GRIN1	VOROEQBFPPIACJ-SCSAIBSYSA-N	N[C@H](CCCP(=O)(O)O)C(=O)O
Q7Z2K8	GRIN1	JDCKMCIQUXTYQI-UHFFFAOYSA-N	Oc1nc2cc(C(F)(F)F)cc(Cl)c2nc1O
Q7Z2K8	GRIN1	JTJMJGYZQZDUJJ-UHFFFAOYSA-N	c1ccc(C2(N3CCCCC3)CCCCC2)cc1
Q7Z2K8	GRIN1	BDYHNCZIGYIOGJ-DUXPYHPUSA-N	C/C(=C\C(N)C(=O)O)CP(=O)(O)O
Q7Z2K8	GRIN1	ITPRBCDKYPSWNW-UHFFFAOYSA-N	COc1ccc(Cc2cccc(-c3c(O)c4ccc(Cl)cc4[nH]c3=O)c2)cc1
Q7Z2K8	GRIN1	MTCFGRXMJLQNBG-UWTATZPHSA-N	N[C@H](CO)C(=O)O
Q7Z2K8	GRIN1	DPFHVUSPVHRVFL-YFKPBYRVSA-N	C[C@@H](NCc1cc(Br)cc2[nH]c(=O)c(=O)[nH]c12)P(=O)(O)O
Q7Z2K8	GRIN1	HCKUBNLZMKAEIN-GSVOUGTGSA-N	N[C@@H]1CCN(O)C1=O
Q7Z2K8	GRIN1	VPPJLAIAVCUEMN-GFCCVEGCSA-N	COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1
Q7Z2K8	GRIN1	PUWRZSGQAPPNEC-UHFFFAOYSA-N	O=c1[nH]c2cc(Cl)ccc2c(=O)cc1O
Q7Z2K8	GRIN1	WZBNEZWCNKUOSM-VOTSOKGWSA-N	O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1
Q7Z2K8	GRIN1	FCFLRBRNNOEQMR-MRVPVSSYSA-N	N[C@H](CNC(=O)c1cc2c(Br)cccc2[nH]1)C(=O)O
Q7Z2K8	GRIN1	OQLODOGGOMSJDF-MRXNPFEDSA-N	CCc1ccccc1-c1cccc2[nH]c(C(=O)NC[C@@H](N)C(=O)O)cc12
