uniprot	gene	inchikey	smiles
Q92731	ESR2	MQIMZDXIAHJKQP-UHFFFAOYSA-N	C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3)oc12
Q92731	ESR2	OLPSAOWBSPXZEA-JIEICEMKSA-N	C[C@]12CC[C@H]3[C@@H]([C@H](O)C=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O
Q92731	ESR2	ZZIALNLLNHEQPJ-UHFFFAOYSA-N	O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12
Q92731	ESR2	GWKQRNXTGAHPBR-GINUTJKVSA-N	O=C(O)/C=C/c1ccc(C(=C2C3CCCC2CCC3)c2ccc(O)cc2)cc1
Q92731	ESR2	SCVIEONTACSLJA-VZBZSUMNSA-N	CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1
Q92731	ESR2	HMYBVYBHZVQZNH-AEFFLSMTSA-N	CC[C@@H]1c2ccc3cc(O)ccc3c2CC[C@]1(C)C(=O)O
Q92731	ESR2	RGLYKWWBQGJZGM-ISLYRVAYSA-N	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
Q92731	ESR2	JJKOTMDDZAJTGQ-DQSJHHFOSA-N	CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1
Q92731	ESR2	NKANXQFJJICGDU-QPLCGJKRSA-N	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
Q92731	ESR2	BFPYWIDHMRZLRN-SLHNCBLASA-N	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
