uniprot	gene	inchikey	smiles
Q9BY41	HDAC8	AOXOYUCWJCCUDO-CMDGGOBGSA-N	O=C(/C=C/c1cccc2ccccc12)NO
Q9BY41	HDAC8	KQGPQDMPQIWCMX-UHFFFAOYSA-N	S=c1[nH]cc(-c2ccncc2)[nH]1
Q9BY41	HDAC8	PKQVYJOPUCLLCD-UHFFFAOYSA-N	O=C(NO)c1ccc(-c2cccc3ccccc23)cc1
Q9BY41	HDAC8	WQUMCIJBZDIUPT-FQEVSTJZSA-N	O=C(NO)[C@H](Cc1ccccc1)n1nnc(-c2ccccc2)c1C#CC1CC1
Q9BY41	HDAC8	AJRGHIGYPXNABY-UHFFFAOYSA-N	COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1
Q9BY41	HDAC8	CRAMEMOEGDTUCY-MDZDMXLPSA-N	O=C(/C=C/c1ccc(Cc2nc3ccccc3[nH]2)cc1)NO
Q9BY41	HDAC8	PTJGLFIIZFVFJV-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1cccnc1)NO
Q9BY41	HDAC8	MXWDSZWTBOCWBK-UHFFFAOYSA-N	CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1
Q9BY41	HDAC8	CITNMKKLNPYCDV-OVCLIPMQSA-N	O=C(/C=C/c1ccc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1)NO
Q9BY41	HDAC8	RGWSSTALGUXZMU-UHFFFAOYSA-N	CN(C)c1ccc(C(=O)NCCCCCC(=O)NO)cc1
Q9BY41	HDAC8	SKBXAZQJXDJNFI-RMKNXTFCSA-N	COc1ccc2[nH]cc(CCNCc3ccc(/C=C/C(=O)NO)cc3)c2c1
Q9BY41	HDAC8	YBKDMLFWQHJAMJ-UHFFFAOYSA-N	O=C(CCCCCNC(=O)c1ccc(OCc2ccccc2)cc1)NO
Q9BY41	HDAC8	XEWAXQQWHKCUTB-JLHYYAGUSA-N	O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccc(OCc4ccccc4)cc23)cc1)NO
Q9BY41	HDAC8	ATSUJKLLCSXMLV-BUHFOSPRSA-N	O=C(/C=C/c1ccc(CNCCn2c3ccccc3c3ccccc32)cc1)NO
Q9BY41	HDAC8	NLKQTNGJKCBXMU-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CNCCc2cnc3ccccc3c2)cc1)NO
Q9BY41	HDAC8	GUGBOAVFOFNJFG-VAWYXSNFSA-N	O=C(/C=C/c1ccc(CNCCCc2c[nH]c3ccccc23)cc1)NO
Q9BY41	HDAC8	IYVIAGDMQOYYQC-OUKQBFOZSA-N	O=C(/C=C/c1ccc(CNCCCc2ccccc2)cc1)NO
Q9BY41	HDAC8	ILAZEUQGANOTAY-VAWYXSNFSA-N	CC(C)N(CCc1c[nH]c2ccccc12)Cc1ccc(/C=C/C(=O)NO)cc1
Q9BY41	HDAC8	NMUMGBKBHOJAQD-UHFFFAOYSA-N	CN(C)c1ccc(C(=O)NCCCCCCCC(=O)NO)cc1
Q9BY41	HDAC8	QLJDJSOFNVSHNG-VMPITWQZSA-N	O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccc(F)cc23)cc1)NO
Q9BY41	HDAC8	QBAGBBYBQAYFBT-XDHOZWIPSA-N	COC(=O)NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O
Q9BY41	HDAC8	DWIYBCKFYUQVLU-UHFFFAOYSA-N	N#Cc1ccc(-c2ccc(OCCCCCCC(=O)NO)cc2)cc1
Q9BY41	HDAC8	BWDQBBCUWLSASG-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO
Q9BY41	HDAC8	ZLUZDKXBTNQWOL-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccccc23)cc1)NO
Q9BY41	HDAC8	VJXBYUITQBTTQM-DSRNDQRRSA-N	CC[C@H](C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](CCSC)C(=O)N2)OC(=O)C[C@@H]1O
Q9BY41	HDAC8	NCNRHFGMJRPRSK-MDZDMXLPSA-N	O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
Q9BY41	HDAC8	FPOHNWQLNRZRFC-ZHACJKMWSA-N	Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1
Q9BY41	HDAC8	WAEXFXRVDQXREF-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1ccccc1)NO
