uniprot	gene	inchikey	smiles
Q9H228	S1PR5	XJCLYGZLMYHFCN-UHFFFAOYSA-N	Cc1cc(C)c(Nc2cccc3c(C)n[nH]c(=O)c23)c(C)c1
Q9H228	S1PR5	WAAWETUDFSIYSD-UHFFFAOYSA-N	O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1
Q9H228	S1PR5	KIHYPELVXPAIDH-HNSNBQBZSA-N	CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1
Q9H228	S1PR5	WECRLAZSZWCWDE-UHFFFAOYSA-N	CCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC
Q9H228	S1PR5	IGTAPYSCLKXXSC-UHFFFAOYSA-N	CC(C)Oc1ccc(-c2nc(-c3ccc(C4(N)COC4)cc3)no2)cc1C#N
Q9H228	S1PR5	MFKQRFCQVDRBIH-AREMUKBSSA-N	C[C@@](N)(CCc1ccc(C(=O)CCc2ccc(-c3ccccc3)cc2)cc1)COP(=O)(O)O
Q9H228	S1PR5	ZBUCZBCUBSTXQF-UHFFFAOYSA-N	Cc1cc(C)c(Nc2ccc(Cl)cc2C(N)=O)c(C)c1
Q9H228	S1PR5	LRFKWQGGENFBFO-UHFFFAOYSA-N	CCCCCCCCc1ccc(CCC(N)(CO)COP(=O)(O)O)cc1
Q9H228	S1PR5	VBYQVUKISPYLQE-LJQANCHMSA-N	CCCCCCCOc1ccc(CC[C@@](C)(N)CC(=O)O)cc1
Q9H228	S1PR5	MRUSUGVVWGNKFE-MRXNPFEDSA-N	CCCCCCCCc1cccc(NC(=O)[C@H](N)COP(=O)(O)O)c1
Q9H228	S1PR5	DUYSYHSSBDVJSM-KRWOKUGFSA-N	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)COP(=O)(O)O
