uniprot	gene	inchikey	smiles
Q9NPC1	LTB4R2	YFIZRWPXUYFCSN-UHFFFAOYSA-N	CCCc1c(OCCCOc2cc(O)c(-c3ccc(F)cc3)cc2CC)cccc1Oc1ccccc1C(=O)O
Q9NPC1	LTB4R2	KLSPVZPRGMZOFX-UHFFFAOYSA-N	CCCc1c(OCCCCCCc2ccc(OCCCC(=O)O)cc2CCC(=O)O)ccc2c1OCCC2=O
Q9NPC1	LTB4R2	SYZSSLLFRVDRHL-QPJJXVBHSA-N	COc1ccc(/C=C/CCCCOc2ccc(C(=O)c3cccc(C(=O)O)c3)cc2CCC(=O)O)cc1
Q9NPC1	LTB4R2	ZVVCSBSDFGYRCB-UHFFFAOYSA-N	CCCc1c(OCCCOc2ccc(C(C)=O)c(OC)c2CCC)ccc2c1OC(C(=O)O)CC2
Q9NPC1	LTB4R2	HWPXBWNLCZPRCW-RVDMUPIBSA-N	CCN(CC)C(=O)/C=C(\C)c1ccc(OCc2c(F)cccc2F)c(CC(=O)O)c1
Q9NPC1	LTB4R2	OOPCWGWDZXXLFV-RVDMUPIBSA-N	CCN(CC)C(=O)/C=C(\C)c1ccc(OCc2c(F)cccc2F)c(OCC(=O)O)c1
Q9NPC1	LTB4R2	WCGXJPFHTHQNJL-UHFFFAOYSA-N	CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nn[nH]n1
Q9NPC1	LTB4R2	KPQMGPINRWJVQJ-UHFFFAOYSA-N	CC(C)(CCCCOc1cc(-c2ccccc2)cc(-c2ccccc2)n1)C(=O)O
Q9NPC1	LTB4R2	XVOIIUGMYVACGS-UHFFFAOYSA-N	CCCc1c(OCCCOc2cc(O)c(C(C)=O)cc2CC)ccc2c1OC(C(=O)O)CC2
Q9NPC1	LTB4R2	VAYJLOGCWOXMAS-UHFFFAOYSA-N	COc1cc(C(=O)N(C(C)C)C(C)C)ccc1OCCCCCOc1ccc(C(=N)N)cc1
Q9NPC1	LTB4R2	VNYSSYRCGWBHLG-AMOLWHMGSA-N	CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O
Q9NPC1	LTB4R2	FIKVYIRIUOFLLR-UHFFFAOYSA-N	CC(CC(=O)c1ccc(-c2ccc(F)cc2F)cc1)C(=O)O
