uniprot	gene	inchikey	smiles
Q9UBN7	HDAC6	IDWXSMFEIPWSPT-VQFGERMISA-N	Cc1n[nH]c(C)c1CCN1CCC[C@H]1c1ccc(/C=C/C(=O)NO)cc1
Q9UBN7	HDAC6	JMBODOHYRWZQEW-SFHVURJKSA-N	C[C@]1(Nc2ccc(C(=O)NO)cc2)CCN(c2ccc(Cl)cc2)C1=O
Q9UBN7	HDAC6	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1
Q9UBN7	HDAC6	JMBODOHYRWZQEW-UHFFFAOYSA-N	CC1(Nc2ccc(C(=O)NO)cc2)CCN(c2ccc(Cl)cc2)C1=O
Q9UBN7	HDAC6	QGZYDVAGYRLSKP-UHFFFAOYSA-N	O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO
Q9UBN7	HDAC6	AQCULNMHTOBDQM-UHFFFAOYSA-N	CS(=O)(=O)Cc1noc(-c2ccc(C(=O)C(F)(F)F)s2)n1
Q9UBN7	HDAC6	BWDQBBCUWLSASG-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO
Q9UBN7	HDAC6	ZLUZDKXBTNQWOL-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccccc23)cc1)NO
Q9UBN7	HDAC6	FPOHNWQLNRZRFC-ZHACJKMWSA-N	Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1
Q9UBN7	HDAC6	GPTFURBXHJWNHR-UHFFFAOYSA-N	CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3
Q9UBN7	HDAC6	RTKIYFITIVXBLE-WKWSCTOISA-N	CC(/C=C/C(=O)NO)=C\C(C)C(=O)c1ccc(N(C)C)cc1
Q9UBN7	HDAC6	VJXBYUITQBTTQM-DSRNDQRRSA-N	CC[C@H](C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](CCSC)C(=O)N2)OC(=O)C[C@@H]1O
Q9UBN7	HDAC6	WAEXFXRVDQXREF-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1ccccc1)NO
Q9UBN7	HDAC6	SGYJGGKDGBXCNY-ZDIDWYTNSA-N	CC1(C)NC(=O)[C@H](CCCCCC(=O)C2CO2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
