uniprot	gene	inchikey	smiles
Q9UM73	ALK	WPOLKWXCMWKIMW-UHFFFAOYSA-N	CCNCC(=O)N1CCC(c2cc(OC)c(Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)n4nccc4n3)cc2C)CC1
Q9UM73	ALK	PIBITIKJRIGPID-UHFFFAOYSA-N	CC(C)Oc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
Q9UM73	ALK	CWXBESRGEPLREF-UHFFFAOYSA-N	Cc1cc(Nc2nc(Nc3ccccc3S(=O)(=O)C(C)C)c3cn[nH]c3n2)c(OC(C)C)cc1C1CCN(C)CC1
Q9UM73	ALK	VERWOWGGCGHDQE-UHFFFAOYSA-N	Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1
Q9UM73	ALK	QQWUGDVOUVUTOY-UHFFFAOYSA-N	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
Q9UM73	ALK	MLCQSMIPJLUCJS-PXDATVDWSA-N	O[C@@H]1CCN(c2nccc(-c3cccc(-c4cnc5ccc(N6CCC[C@@H]6c6cccc(F)c6)nn45)n3)n2)C1
Q9UM73	ALK	HUGUNJBGJZFIKW-UHFFFAOYSA-N	COc1cccc(Nc2nccc(Nc3ccc4c(c3S(N)(=O)=O)OCCO4)n2)c1
Q9UM73	ALK	VWCZORWQNKCYGE-UHFFFAOYSA-N	CC1(C)c2cc(C3CCN(CC4CCOCC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21
Q9UM73	ALK	GYQYAJJFPNQOOW-UHFFFAOYSA-N	CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
Q9UM73	ALK	KDGFLJKFZUIJMX-UHFFFAOYSA-N	CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
Q9UM73	ALK	IIXWYSCJSQVBQM-LLVKDONJSA-N	C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21
