uniprot	gene	inchikey	smiles
Q9Y2D0	CA5B	DMDGGSIALPNSEE-UHFFFAOYSA-N	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
Q9Y2D0	CA5B	NOOBQTYVTDBXTL-UHFFFAOYSA-N	NS(=O)(=O)c1nc2ccc(O)cc2s1
Q9Y2D0	CA5B	HMHVCUVYZFYAJI-UHFFFAOYSA-N	NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
Q9Y2D0	CA5B	JZUFKLXOESDKRF-UHFFFAOYSA-N	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
Q9Y2D0	CA5B	HCODCRHNVCTCTR-UHFFFAOYSA-N	Nc1ccc(S(N)(=O)=O)cc1I
Q9Y2D0	CA5B	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
Q9Y2D0	CA5B	AQCHWTWZEMGIFD-UHFFFAOYSA-N	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
Q9Y2D0	CA5B	NDDAHWYSQHTHNT-UHFFFAOYSA-N	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
Q9Y2D0	CA5B	JIVPVXMEBJLZRO-UHFFFAOYSA-N	NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
Q9Y2D0	CA5B	IAVUPMFITXYVAF-XPUUQOCRSA-N	CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
Q9Y2D0	CA5B	IHJCXVZDYSXXFT-UHFFFAOYSA-N	Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O
Q9Y2D0	CA5B	FDDDEECHVMSUSB-UHFFFAOYSA-N	Nc1ccc(S(N)(=O)=O)cc1
Q9Y2D0	CA5B	YAZSBRQTAHVVGE-UHFFFAOYSA-N	Nc1ccccc1S(N)(=O)=O
Q9Y2D0	CA5B	MAEIEVLCKWDQJH-UHFFFAOYSA-N	CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
Q9Y2D0	CA5B	UAJYCSUKECWQFQ-UHFFFAOYSA-N	CC(C)(C)c1ccc(C(=O)Nc2cccc(S(N)(=O)=O)c2)cc1
Q9Y2D0	CA5B	TYMRLRRVMHJFTF-UHFFFAOYSA-N	NCc1ccc(S(N)(=O)=O)cc1
Q9Y2D0	CA5B	OUZWUKMCLIBBOG-UHFFFAOYSA-N	CCOc1ccc2nc(S(N)(=O)=O)sc2c1
Q9Y2D0	CA5B	GJQPMPFPNINLKP-UHFFFAOYSA-N	NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
Q9Y2D0	CA5B	JBMKAUGHUNFTOL-UHFFFAOYSA-N	NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
Q9Y2D0	CA5B	QOAXQANKSMHFKJ-UHFFFAOYSA-N	Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1
Q9Y2D0	CA5B	KJADKKWYZYXHBB-XBWDGYHZSA-N	CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
Q9Y2D0	CA5B	BZKPWHYZMXOIDC-UHFFFAOYSA-N	CC(=O)Nc1nnc(S(N)(=O)=O)s1
