uniprot	gene	inchikey	smiles
Q9Y5N1	HRH3	WROHEWWOCPRMIA-UHFFFAOYSA-N	CNC(=O)c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1
Q9Y5N1	HRH3	QKDDJDBFONZGBW-UHFFFAOYSA-N	S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1
Q9Y5N1	HRH3	NNACHAUCXXVJSP-UHFFFAOYSA-N	Clc1ccc(CCCOCCCN2CCCCC2)cc1
Q9Y5N1	HRH3	PEHSVUKQDJULKE-UHFFFAOYSA-N	N=C(N)SCCc1c[nH]cn1
Q9Y5N1	HRH3	ANRUJJLGVODXIK-UHFFFAOYSA-N	NCCC(=O)NCCc1c[nH]cn1
Q9Y5N1	HRH3	HHZLKORDNNRTRS-UHFFFAOYSA-N	Cc1ccn2cc(-c3ccc(OCCCN4CCCCC4)cc3)nc2c1
Q9Y5N1	HRH3	UAMIBPKKKLTAKG-BQYQJAHWSA-N	CCc1nc2c(C)cc(C)nc2n1Cc1ccc(/C=C/CN2CCN(C(C)C)CC2)cc1
Q9Y5N1	HRH3	UUQMNUMQCIQDMZ-UHFFFAOYSA-N	CNCCc1ccccn1
Q9Y5N1	HRH3	NTYJJOPFIAHURM-UHFFFAOYSA-N	NCCc1cnc[nH]1
Q9Y5N1	HRH3	IYSYPCSSDZBWHN-UHFFFAOYSA-N	O=C1Cc2ccccc2C(=C2CCNCC2)c2ccsc21
