uniprot	gene	inchikey	smiles
O95067	CCNB2	WXUWYRZLSHTUDA-UHFFFAOYSA-N	c1cnc2[nH]cc(-c3ccnc(NC4CCNCC4)n3)c2c1
O95067	CCNB2	BIIVYFLTOXDAOV-YVEFUNNKSA-N	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
O95067	CCNB2	QYCHPDKQNUGKLB-UHFFFAOYSA-N	COc1cc(Nc2nccc(-c3c[nH]c4ncccc34)n2)cc(OC)c1OC
O95067	CCNB2	PMXCMJLOPOFPBT-HNNXBMFYSA-N	CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1
O95067	CCNB2	ACIOMPFLDCPKIS-UHFFFAOYSA-N	Nc1nc(Nc2ccccc2)sc1C(=O)c1cccc([N+](=O)[O-])c1
O95067	CCNB2	GFXMFSCCEVADLF-UHFFFAOYSA-N	CC(=O)Nc1ncc(SCc2ncc(C(C)(C)C)o2)s1
O95067	CCNB2	UTBSBSOBZHXMHI-CABCVRRESA-N	CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@H]3CCCC[C@H]3N)nc21
O95067	CCNB2	BTIHMVBBUGXLCJ-OAHLLOKOSA-N	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
O95067	CCNB2	VUUCDNZACXXJSO-UHFFFAOYSA-N	CN1CCN(c2ccc(Nc3nc(N)c(C(=O)c4c(F)cccc4F)s3)cc2)CC1
O95067	CCNB2	HQHSJJZIICGOIX-UHFFFAOYSA-N	Nc1nccc(-c2c[nH]c3ncccc23)n1
