uniprot	gene	inchikey	smiles
P00533	EGFR	WVUNYSQLFKLYNI-AATRIKPKSA-N	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
P00533	EGFR	GOVANMMKAZSZDV-OAHLLOKOSA-N	CCC(=O)Nc1cccc(-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)c1
P00533	EGFR	ULXXDDBFHOBEHA-CWDCEQMOSA-N	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
P00533	EGFR	HOSPRUSAKFDVHP-GOSISDBHSA-N	C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CN4CCNCC4)cc3)cc12)c1ccccc1
P00533	EGFR	RLXDINBVLLERRM-GOSISDBHSA-N	C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)cc12)c1ccccc1
P00533	EGFR	KIEXMVITNVJBEJ-NBILRRPASA-N	COc1cncc(C(=O)Nc2nc3cccc(C)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)c1
P00533	EGFR	ICCFXXDUYSPKOL-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(Sc2cccc[n+]2[O-])c2nonc12
P00533	EGFR	IOMMMLWIABWRKL-WUTDNEBXSA-N	Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1
P00533	EGFR	OYNZLGSGMOLHND-UHFFFAOYSA-N	Nc1cccc(Oc2ccnc(Nc3ccccc3O)n2)c1
P00533	EGFR	UPCODGKQZAKIAC-UHFFFAOYSA-N	Nc1ccc(-c2cc3c(N4CCCc5ccccc54)ncnc3[nH]2)cc1
