uniprot	gene	inchikey	smiles
P03372	ESR1	GKIRPKYJQBWNGO-OCEACIFDSA-N	CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1
P03372	ESR1	GWKQRNXTGAHPBR-GINUTJKVSA-N	O=C(O)/C=C/c1ccc(C(=C2C3CCCC2CCC3)c2ccc(O)cc2)cc1
P03372	ESR1	SCVIEONTACSLJA-VZBZSUMNSA-N	CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1
P03372	ESR1	HMYBVYBHZVQZNH-AEFFLSMTSA-N	CC[C@@H]1c2ccc3cc(O)ccc3c2CC[C@]1(C)C(=O)O
P03372	ESR1	NFIXBCVWIPOYCD-UHFFFAOYSA-N	CCN(CC)CCOc1ccc(Cc2ccccc2)cc1
P03372	ESR1	UFGVOGKKKNPLJJ-UHFFFAOYSA-N	Cc1cc2c(Cc3ccc(OCCN4CCCC4)cc3)c(-c3ccc(Cl)cc3Cl)c(=O)oc2cc1O
P03372	ESR1	RGLYKWWBQGJZGM-ISLYRVAYSA-N	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
P03372	ESR1	JJKOTMDDZAJTGQ-DQSJHHFOSA-N	CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1
P03372	ESR1	XFCLJVABOIYOMF-QPLCGJKRSA-N	CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
P03372	ESR1	BWUMNOKLUCGAHO-MDWZMJQESA-N	Cc1cc(OC(F)(F)F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccccc2oc1=O
P03372	ESR1	NKANXQFJJICGDU-QPLCGJKRSA-N	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
P03372	ESR1	VZMLEMYJUIIHNF-QURGRASLSA-N	CCC(=O)Oc1ccc(/C(CC)=C(\CC)c2ccc(OC(=O)CC)cc2)cc1
