uniprot	gene	inchikey	smiles
P07437	TUBB	GBABOYUKABKIAF-IELIFDKJSA-N	CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
P07437	TUBB	FRFRWOXVYJSPCG-RLLVAITOSA-N	C/C=C/C(O)C(C)(C)C1C/C=C\C=C/C=C/C(OC)Cc2nc(co2)C(=O)OC(C(C)(C)C(O)/C=C/C)C/C=C\C2OC2/C=C/C=C\c2nc(co2)C(=O)O1
P07437	TUBB	AKNNEGZIBPJZJG-UHFFFAOYSA-N	COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C
P07437	TUBB	RCINICONZNJXQF-SDADAVDGSA-N	CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O
P07437	TUBB	JXLYSJRDGCGARV-CFWMRBGOSA-N	CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
P07437	TUBB	JYLNHIJYZROVQX-NKNVEYFZSA-N	COC(=O)C[C@@H]1C/C=C/C(=O)O[C@H]([C@H](C)[C@@H](OC)/C(C)=C/C=C/C(C)=C/c2coc(C)n2)C[C@H](O)[C@@]2(C)O[C@@H]2/C=C/[C@@H](C)[C@H](O)C1
P07437	TUBB	PLSOFLNMARXGBD-UHFFFAOYSA-N	CCc1ncnc2ccc(CCc3cc(OC)ccc3OC)cc12
P07437	TUBB	QXRSDHAAWVKZLJ-PVYNADRNSA-N	C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
P07437	TUBB	AADVCYNFEREWOS-OBRABYBLSA-N	C=C/C=C\[C@H](C)[C@H](OC(N)=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](O)[C@@H](C)/C=C\[C@@H](O)C[C@@H]1OC(=O)[C@H](C)[C@@H](O)[C@H]1C
P07437	TUBB	OGWKCGZFUXNPDA-CFWMRBGOSA-N	CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
P07437	TUBB	FUUIBLHTNALKRL-UHFFFAOYSA-N	COC(=O)c1oc2cc(OC)ccc2c1Nc1cc(OC)c(OC)c(OC)c1
P07437	TUBB	VJJPUSNTGOMMGY-MRVIYFEKSA-N	COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
P07437	TUBB	JXLYSJRDGCGARV-XQKSVPLYSA-N	CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
P07437	TUBB	YJGVMLPVUAXIQN-XVVDYKMHSA-N	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
