uniprot	gene	inchikey	smiles
P14416	DRD2	KORNTPPJEAJQIU-KJXAQDMKSA-N	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
P14416	DRD2	OBWGMKKHCLHVIE-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1
P14416	DRD2	DKNWSYNQZKUICI-UHFFFAOYSA-N	NC12CC3CC(CC(C3)C1)C2
P14416	DRD2	BJMSUUATNLDQQZ-DGCLKSJQSA-N	CCCN1CCC[C@@H]2c3cccc(O)c3OC[C@H]21
P14416	DRD2	KFQYTPMOWPVWEJ-UHFFFAOYSA-N	CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1
P14416	DRD2	PCIWCYUKRZFCMF-UHFFFAOYSA-N	COc1cccc(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)c1OC
P14416	DRD2	ZLVMAMIPILWYHQ-INIZCTEOSA-N	CCOC(=O)Oc1ccc(CCNC(=O)[C@H](CCSC)NC(C)=O)cc1OC(=O)OCC
P14416	DRD2	AIBHLZVVPXCTKY-SRCQZFHVSA-N	CN1C[C@H](Cn2cncn2)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
P14416	DRD2	VSWBSWWIRNCQIJ-HUUCEWRRSA-N	CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1
P14416	DRD2	RFTZQSZLGIQWEX-UHFFFAOYSA-N	CN1c2ccc(Cl)cc2N=C(N2CCNCC2)c2ccccc21
P14416	DRD2	UXRWQKITDPCICD-QKYXUNIQSA-N	CCC(C)(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]c(C)c(c34)C[C@H]2N(C)C1
P14416	DRD2	PFSDKYXWJQPNMW-UHFFFAOYSA-N	Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1C2
P14416	DRD2	WTDRDQBEARUVNC-LURJTMIESA-N	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
P14416	DRD2	AEQDJSLRWYMAQI-UHFFFAOYSA-N	COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2
P14416	DRD2	XBBDACCLCFWBSI-ZETCQYMHSA-N	COC(=O)[C@@H](N)Cc1ccc(O)c(O)c1
P14416	DRD2	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
