uniprot	gene	inchikey	smiles
P20309	CHRM3	VGPDHSJTCIECIM-QFQXNSOFSA-N	C[N@@+]1(CCCc2ccccc2)CCC[C@@H](OC(=O)C(O)(c2cccs2)c2cccs2)C1
P20309	CHRM3	CNIKCJIPPYDKEJ-LGCWNYSLSA-O	O=C(C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1ccccc1)c1ccccc1)C2)Nc1ccon1
P20309	CHRM3	GRPDJYSPOSONBX-CXXVJMAYSA-O	O=C(C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1cccs1)C1CCCCC1)C2)Nc1ccon1
P20309	CHRM3	DUXCHYYGLSQPPP-LWOCSEGBSA-O	O=C(C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2)Nc1ccncn1
P20309	CHRM3	LERNTVKEWCAPOY-FPISHFTHSA-N	C[N+]1(C)[C@H]2CC(OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21
P20309	CHRM3	WQOVUXDYBFHIHS-WBANQOEISA-N	C[N@+]1(CCOc2ccccc2)CC[C@H](OC(=O)C(O)(c2cccs2)c2cccs2)CC1
P20309	CHRM3	CYCBWXXBSATYMI-QZWVJJBASA-N	C[N+]1(CCc2ccccc2)CCC[C@@H]1COC(=O)C(O)(c1ccccc1)c1ccccc1
P20309	CHRM3	OGAKLTJNUQRZJU-UHFFFAOYSA-N	OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
P20309	CHRM3	QCHFTSOMWOSFHM-WPRPVWTQSA-N	CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
P20309	CHRM3	UVTNFZQICZKOEM-UHFFFAOYSA-N	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
P20309	CHRM3	QPCVHQBVMYCJOM-UHFFFAOYSA-N	CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
