uniprot	gene	inchikey	smiles
P21453	S1PR1	KIHYPELVXPAIDH-HNSNBQBZSA-N	CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1
P21453	S1PR1	OUONONTYGQGSHC-UHFFFAOYSA-N	CCCc1c(OC)ccc2cc(C(=O)Nc3ccc(CN)cc3)c(=O)oc12
P21453	S1PR1	YAKSFKRNONBMDV-GOSISDBHSA-N	CCCOc1ccc2cc(CC[C@@](C)(N)CO)ccc2c1
P21453	S1PR1	BWUYGRHIDKUYBU-UHFFFAOYSA-N	Cc1ccc(-c2ccc(CNCCCP(=O)(O)O)nc2-c2ccccc2)cc1
P21453	S1PR1	IINUNQPYJGJCJI-UHFFFAOYSA-N	NC(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl
P21453	S1PR1	VBYQVUKISPYLQE-LJQANCHMSA-N	CCCCCCCOc1ccc(CC[C@@](C)(N)CC(=O)O)cc1
P21453	S1PR1	ZBUCZBCUBSTXQF-UHFFFAOYSA-N	Cc1cc(C)c(Nc2ccc(Cl)cc2C(N)=O)c(C)c1
P21453	S1PR1	IGTAPYSCLKXXSC-UHFFFAOYSA-N	CC(C)Oc1ccc(-c2nc(-c3ccc(C4(N)COC4)cc3)no2)cc1C#N
P21453	S1PR1	MFKQRFCQVDRBIH-AREMUKBSSA-N	C[C@@](N)(CCc1ccc(C(=O)CCc2ccc(-c3ccccc3)cc2)cc1)COP(=O)(O)O
P21453	S1PR1	NFOLAKWLEGGBTA-UHFFFAOYSA-N	CCOc1c(OC)ccc2cc(C(=O)Nc3ccc(C(C)(C)N)cc3)c(=O)oc12
