uniprot	gene	inchikey	smiles
P24941	CDK2	KOODMIUJLQTAQY-UHFFFAOYSA-N	Cc1ccc(Nc2cc(-c3cccc(N)c3)ncn2)cc1NS(=O)(=O)c1cn(C)cn1
P24941	CDK2	YUTLWCQIOXIPAP-UHFFFAOYSA-N	COc1ccccc1-c1cc(Nc2ccc(C)c(NS(C)(=O)=O)c2)ncn1
P24941	CDK2	CXQRKICWSCAUGW-UHFFFAOYSA-N	Cc1ccc(Nc2cc(-c3ccccc3)ncn2)cc1NS(C)(=O)=O
P24941	CDK2	MTKCOKFSICWGPP-UHFFFAOYSA-N	Nc1cccc(C(=O)c2sc(Nc3ccccc3)nc2N)c1
P24941	CDK2	BBFVLRHCOLVFKU-UHFFFAOYSA-N	N#Cc1cnc(Nc2ccc(S(N)(=O)=O)cc2)nc1N
P24941	CDK2	WWEQTPOWISSFHS-UHFFFAOYSA-N	O=C(Nc1ccc(N2CCOCC2)cc1)c1n[nH]c2ccccc12
P24941	CDK2	GSQOBTOAOGXIFL-LFIBNONCSA-N	N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1
P24941	CDK2	RBCOCGJUDYLCLU-UHFFFAOYSA-N	CS(=O)(=O)c1cccc(Nc2nccc(-c3cccc4[nH]ccc34)n2)c1
P24941	CDK2	HHODLRBJFMBODF-UHFFFAOYSA-N	N#Cc1ccccc1Nc1ccnc(Nc2ccc(S(N)(=O)=O)cc2)n1
P24941	CDK2	VPEOEBSAJZUAHP-UHFFFAOYSA-N	Cc1cnc(Nc2cccc(S(C)(=O)=O)c2)nc1-c1cccc2[nH]ccc12
P24941	CDK2	UTBSBSOBZHXMHI-CABCVRRESA-N	CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@H]3CCCC[C@H]3N)nc21
P24941	CDK2	VKWDUXSHPJACHQ-DHDCSXOGSA-N	CC(C)(CO)CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1
