uniprot	gene	inchikey	smiles
P28223	HTR2A	WPGUWABWNUSPMW-UHFFFAOYSA-N	COC(=O)c1c2n(c3ccccc13)Cc1ccccc1N1CCN(C)CC21
P28223	HTR2A	NIDVDYQCGWISJZ-UHFFFAOYSA-N	Cn1c(=O)c2c(ncn2CCN2CCN(c3ccccc3Cl)CC2)n(C)c1=O
P28223	HTR2A	AFZLABYDOCWQBQ-WOJBJXKFSA-N	COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1
P28223	HTR2A	VKGVZBMIHDQODH-UHFFFAOYSA-N	O=c1[nH]c2ccccc2n1CCCCN1CCN(c2cccc(Cl)c2)CC1
P28223	HTR2A	OBWGMKKHCLHVIE-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1
P28223	HTR2A	VGIGHGMPMUCLIQ-UHFFFAOYSA-N	O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1
P28223	HTR2A	DRTSNTOTLTVTDJ-UHFFFAOYSA-N	CN(C)C1CCc2c(cccc2-c2ccccc2)C1
P28223	HTR2A	QUSLYAPLTMMCFE-UHFFFAOYSA-N	CC(C)N1Cc2cc(S(C)(=O)=O)ccc2N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)S1(=O)=O
P28223	HTR2A	PFSDKYXWJQPNMW-UHFFFAOYSA-N	Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1C2
P28223	HTR2A	MTKHCEFATKQYMK-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1
P28223	HTR2A	JNNOSTQEZICQQP-UHFFFAOYSA-N	Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2
P28223	HTR2A	JCBQCKFFSPGEDY-UHFFFAOYSA-N	c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2
