uniprot	gene	inchikey	smiles
P30281	CCND3	VUUCDNZACXXJSO-UHFFFAOYSA-N	CN1CCN(c2ccc(Nc3nc(N)c(C(=O)c4c(F)cccc4F)s3)cc2)CC1
P30281	CCND3	QJWIKMKAGFNAJH-UHFFFAOYSA-N	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O
P30281	CCND3	QKRVSWPBAOCWHY-UHFFFAOYSA-N	CSc1ncc(C=O)c(NC2CCCC2)n1
P30281	CCND3	GHESWKCVPRIYLS-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(N2CCCC(CO)C2)cc1
P30281	CCND3	ZPGVLDQXMSGLHG-UHFFFAOYSA-N	Nc1ccc(N2CCCC(CO)C2)cc1
P30281	CCND3	VDDZMXQAZJMGPK-UHFFFAOYSA-N	CCOC(=O)c1cnc(SC)nc1NC
P30281	CCND3	RNPWPESLLCUROD-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(N2CCC(O)CC2)cc1
P30281	CCND3	NXNGLEYSIAXGCL-UHFFFAOYSA-N	CNc1nc(SC)ncc1CO
P30281	CCND3	QINRQIZOBCQKAZ-UHFFFAOYSA-N	CCOC(=O)c1cnc(SC)nc1N
P30281	CCND3	FWFSAHWQTKFKBC-UHFFFAOYSA-N	CCn1c(=O)ccc2cnc([S+](C)[O-])nc21
P30281	CCND3	MYJQMHHJSZBXNK-UHFFFAOYSA-N	CCOC(=O)c1cnc(SC)nc1NC1CCCC1
P30281	CCND3	PFDUBQQHEHJNQX-UHFFFAOYSA-N	CN(C)C1CCN(c2ccc(N)cc2)CC1
P30281	CCND3	XLVOWGDFXAVSFE-UHFFFAOYSA-N	CSc1ncc(CO)c(N)n1
P30281	CCND3	WGUCZWYLSKPURM-UHFFFAOYSA-N	CNc1nc(SC)ncc1C=O
P30281	CCND3	BJXPIIDUCADEKU-UHFFFAOYSA-N	Nc1ccc(N2CCC(O)CC2)cc1
P30281	CCND3	HKGVZNNJDXEJQC-UHFFFAOYSA-N	CSc1ncc(CO)c(NC2CCCC2)n1
P30281	CCND3	RNYUFDKLBWLNCR-UHFFFAOYSA-N	CCn1c(=O)ccc2cnc(SC)nc21
