uniprot	gene	inchikey	smiles
P30939	HTR1F	RPGDCRNUJYFGLT-UHFFFAOYSA-N	CC(CN)c1c[nH]c2ccc(O)cc12
P30939	HTR1F	WKNFADCGOAHBPG-UHFFFAOYSA-N	CN1CCC(c2c[nH]c3ccc(O)cc23)CC1
P30939	HTR1F	NNAIYOXJNVGUOM-UHFFFAOYSA-N	CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
P30939	HTR1F	HDOZVRUNCMBHFH-UHFFFAOYSA-N	CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
P30939	HTR1F	JXZZEXZZKAWDSP-UHFFFAOYSA-N	O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
P30939	HTR1F	VVSOHUNZJUMVHS-UHFFFAOYSA-N	O=C(CCCN1CCC(NC(=O)c2ccccc2)CC1)c1ccccc1
P30939	HTR1F	ZFZPJDFBJFHYIV-UHFFFAOYSA-N	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
P30939	HTR1F	VBWVJJZYUPVDPN-UHFFFAOYSA-N	O=C(CCCN1CCc2[nH]c3ccc(F)cc3c2C1)c1ccc(F)cc1
P30939	HTR1F	QOYHHIBFXOOADH-UHFFFAOYSA-N	O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
P30939	HTR1F	LLBLNMUONVVVPG-UHFFFAOYSA-N	OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
P30939	HTR1F	QZUDBNBUXVUHMW-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
P30939	HTR1F	DBGIVFWFUFKIQN-UHFFFAOYSA-N	CCNC(C)Cc1cccc(C(F)(F)F)c1
