uniprot	gene	inchikey	smiles
Q01668	CACNA1D	AYXYPKUFHZROOJ-ZETCQYMHSA-N	CC(C)C[C@H](CN)CC(=O)O
Q01668	CACNA1D	UGJMXCAKCUNAIE-UHFFFAOYSA-N	NCC1(CC(=O)O)CCCCC1
Q01668	CACNA1D	AJKSBVCOTKODMF-UHFFFAOYSA-N	O=C1CC(=O)N(C2CCCC2)C(=O)N1CCc1cccc(Cl)c1
Q01668	CACNA1D	RZTAMFZIAATZDJ-UHFFFAOYSA-N	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
Q01668	CACNA1D	HYIMSNHJOBLJNT-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
Q01668	CACNA1D	UIAGMCDKSXEBJQ-UHFFFAOYSA-N	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
Q01668	CACNA1D	ZBBHBTPTTSWHBA-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
Q01668	CACNA1D	HMJIYCCIJYRONP-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
Q01668	CACNA1D	VKOCSWJPDGDWGJ-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OCc2ccco2)C1c1cccc([N+](=O)[O-])c1
Q01668	CACNA1D	MDMWHKZANMNXTF-UHFFFAOYSA-N	COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1
Q01668	CACNA1D	XEAQIWGXBXCYFX-BQYQJAHWSA-N	COC1=CC(=O)OC(/C=C/c2ccccc2)C1
Q01668	CACNA1D	QDMAKDIDFJTXEL-UHFFFAOYSA-N	Cc1c(C2CCN(CCc3ccccc3)CC2)noc1-c1ccc(Cl)cc1
Q01668	CACNA1D	JGPMMRGNQUBGND-UHFFFAOYSA-N	COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
Q01668	CACNA1D	VCXNFMLRLDZWTK-SDZGCHGRSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCCCCCCCCc2ccc(OC[C@@H](O)CNC(C)(C)C)c3cc(C#N)[nH]c23)[C@@H]1c1cccc2nonc12
