uniprot	gene	inchikey	smiles
Q13131	PRKAA1	CTESJDQKVOEUOY-UHFFFAOYSA-N	N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O
Q13131	PRKAA1	FANMQRSNMHKZCR-BKUYFWCQSA-N	CC1(CN2C(=O)S/C(=C\c3ccc(NS(=O)(=O)c4ccc([N+](=O)[O-])c(C(F)(F)F)c4)cc3)C2=O)CCCCC1
Q13131	PRKAA1	XHBVYDAKJHETMP-UHFFFAOYSA-N	c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1
Q13131	PRKAA1	FHWSAZXFPUMKFL-UHFFFAOYSA-N	Cc1ccc(Oc2nc3cc(-c4ccc5c(ccn5C)c4)c(Cl)cc3[nH]2)cc1C(=O)O
Q13131	PRKAA1	VQFATZDXIHVJSW-WGSAOQKQSA-N	O=C(O)[C@H]1CC[C@H](Oc2nc3c(F)c(-c4ccc(-c5ccccc5)cc4)c(F)cc3[nH]2)CC1
Q13131	PRKAA1	DMDAXRKDNRQTIF-UHFFFAOYSA-N	Oc1ccccc1-c1ccc(-c2ccc3nc(O)c(O)c(O)c3c2)cc1
Q13131	PRKAA1	NJHPDBRFTYQQJJ-UHFFFAOYSA-N	Cc1ccc(C2CC23C(=O)Nc2cc(Cl)c(-c4ccc(-c5ccc(-n6ccnc6C)cc5)cc4)cc23)cc1C(=O)O
Q13131	PRKAA1	IFSQJGUXRDJGNQ-OCOZRVBESA-N	COc1ccc(/C(O)=C2\C(=O)Nc3cc(Cl)c(-c4ccc(N5CCOCC5)cc4)cc32)cc1F
Q13131	PRKAA1	KWJRSHZSULRJHE-UHFFFAOYSA-N	Cc1ccc(OCCSc2ncccn2)c(Br)c1
Q13131	PRKAA1	WQFWISDSLGGPCP-JAILNELLSA-N	CS(=O)(=NC#N)c1ccc(-c2ccc(-c3nc4[nH]c(O[C@@H]5CO[C@@H]6[C@H](O)CO[C@H]56)nc4cc3Cl)cc2)cc1
Q13131	PRKAA1	LKEAXBYFCTZTLD-UHFFFAOYSA-N	O=C(NC1CCN(Cc2ccncc2)CC1)c1cc2cc(OC3CCN(c4ccc(C(F)(F)F)cc4)CC3)ccc2o1
