uniprot	gene	inchikey	smiles
Q13698	CACNA1S	ZKFQEACEUNWPMT-UHFFFAOYSA-N	CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1
Q13698	CACNA1S	PVHUJELLJLJGLN-UHFFFAOYSA-N	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
Q13698	CACNA1S	SGTNSNPWRIOYBX-UHFFFAOYSA-N	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
Q13698	CACNA1S	RZTAMFZIAATZDJ-UHFFFAOYSA-N	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
Q13698	CACNA1S	HYIMSNHJOBLJNT-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
Q13698	CACNA1S	UIAGMCDKSXEBJQ-UHFFFAOYSA-N	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
Q13698	CACNA1S	FLNYLINBEZROPL-NSOVKSMOSA-N	COc1ccccc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1
Q13698	CACNA1S	HMJIYCCIJYRONP-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
Q13698	CACNA1S	VCPMZDWBEWTGNW-UHFFFAOYSA-N	O=C(CC(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccccc2)CC1
Q13698	CACNA1S	MDMWHKZANMNXTF-UHFFFAOYSA-N	COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1
Q13698	CACNA1S	XEAQIWGXBXCYFX-BQYQJAHWSA-N	COC1=CC(=O)OC(/C=C/c2ccccc2)C1
Q13698	CACNA1S	QDMAKDIDFJTXEL-UHFFFAOYSA-N	Cc1c(C2CCN(CCc3ccccc3)CC2)noc1-c1ccc(Cl)cc1
Q13698	CACNA1S	JGPMMRGNQUBGND-UHFFFAOYSA-N	COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
Q13698	CACNA1S	VCXNFMLRLDZWTK-SDZGCHGRSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCCCCCCCCc2ccc(OC[C@@H](O)CNC(C)(C)C)c3cc(C#N)[nH]c23)[C@@H]1c1cccc2nonc12
