uniprot	gene	inchikey	smiles
Q13936	CACNA1C	RZTAMFZIAATZDJ-UHFFFAOYSA-N	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
Q13936	CACNA1C	FLNYLINBEZROPL-NSOVKSMOSA-N	COc1ccccc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1
Q13936	CACNA1C	VKOCSWJPDGDWGJ-UHFFFAOYSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OCc2ccco2)C1c1cccc([N+](=O)[O-])c1
Q13936	CACNA1C	MDMWHKZANMNXTF-UHFFFAOYSA-N	COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1
Q13936	CACNA1C	XEAQIWGXBXCYFX-BQYQJAHWSA-N	COC1=CC(=O)OC(/C=C/c2ccccc2)C1
Q13936	CACNA1C	QDMAKDIDFJTXEL-UHFFFAOYSA-N	Cc1c(C2CCN(CCc3ccccc3)CC2)noc1-c1ccc(Cl)cc1
Q13936	CACNA1C	VCPMZDWBEWTGNW-UHFFFAOYSA-N	O=C(CC(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccccc2)CC1
Q13936	CACNA1C	JGPMMRGNQUBGND-UHFFFAOYSA-N	COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
Q13936	CACNA1C	VCXNFMLRLDZWTK-SDZGCHGRSA-N	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCCCCCCCCc2ccc(OC[C@@H](O)CNC(C)(C)C)c3cc(C#N)[nH]c23)[C@@H]1c1cccc2nonc12
Q13936	CACNA1C	RTRIXVOSRYRSBP-VXKWHMMOSA-N	c1ccc([C@@H]2CCC[C@@H]2NC2=NCCCCCCCCCCC2)cc1
