uniprot	gene	inchikey	smiles
Q9NWH9	MET	ATASNKKKUMVJNW-CYBMUJFWSA-N	C[C@@H](c1c(F)cc2ncccc2c1F)c1cnc2ccc(-c3cnn(CCO)c3)nn12
Q9NWH9	MET	LGBAQQMSODJFGN-GFCCVEGCSA-N	C[C@@H](c1c(F)cc2ncccc2c1F)c1cnc2ccc(N3CCNC(=O)C3)nn12
Q9NWH9	MET	RHJLXNKZEQTEPR-UHFFFAOYSA-N	FC(F)(F)CNc1ccc2ncc(Cc3ccc4ncccc4c3)n2n1
Q9NWH9	MET	GLBZSOQDAOLMGC-UHFFFAOYSA-N	COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1
Q9NWH9	MET	JRWCBEOAFGHNNU-UHFFFAOYSA-N	Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1
Q9NWH9	MET	ASKREEJRSDOYKI-MMZGTNPYSA-N	C/C(=N\OCCO)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1
Q9NWH9	MET	URAMORWCRRAYRG-UHFFFAOYSA-N	Cn1cc(-c2ccc3nnc(Sc4ccc5ncc(N6CCOCC6)cc5c4)n3c2)cn1
Q9NWH9	MET	QHADVLVFMKEIIP-UHFFFAOYSA-N	Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1
Q9NWH9	MET	ABFMLSSDRGSUAS-UHFFFAOYSA-N	CC(C)N1CCC(n2cc(-c3cnc4cnn(S(=O)(=O)c5cnc6ccc(-c7cnn(C)c7)cn56)c4c3)cn2)CC1
Q9NWH9	MET	LIOLIMKSCNQPLV-UHFFFAOYSA-N	CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F
Q9NWH9	MET	CEKYOUIQCZPVSY-UHFFFAOYSA-N	COc1cc(-c2cnc(N)c(-c3nc4cc(F)ccc4[nH]3)n2)ccc1OCCN1CCCC1
