uniprot	gene	inchikey	smiles
Q9NZ42	PSENEN	DSCFFEYYQKSRSV-KLJZZCKASA-N	CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
Q9NZ42	PSENEN	QSHGISMANBKLQL-OWJWWREXSA-N	C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@@H]1C(=O)N(C)c2ccccc2-c2ccccc21
Q9NZ42	PSENEN	VFCRKLWBYMDAED-REWPJTCUSA-N	CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1
Q9NZ42	PSENEN	PSXOKXJMVRSARX-SCSAIBSYSA-N	O=S(=O)(N[C@H](CO)C(C(F)(F)F)C(F)(F)F)c1ccc(Cl)s1
Q9NZ42	PSENEN	XEAOPVUAMONVLA-QGZVFWFLSA-N	NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1
Q9NZ42	PSENEN	ULSSJYNJIZWPSB-CVRXJBIPSA-N	C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@@H]1C(=O)N(C)c2ccccc2-c2ccccc21
Q9NZ42	PSENEN	IZAOBRWCUGOKNH-OAHLLOKOSA-N	C[C@H](c1ccc(F)cc1CCCC(=O)O)N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1
Q9NZ42	PSENEN	PKXWXXPNHIWQHW-RCBQFDQVSA-N	CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21
Q9NZ42	PSENEN	DWJXYEABWRJFSP-XOBRGWDASA-N	C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H](C(=O)OC(C)(C)C)c1ccccc1
Q9NZ42	PSENEN	NMZBOFGYKWSRMA-UHFFFAOYSA-N	O=S(=O)(c1ccc(F)cc1)N(Cc1ccccc1OC1CCOCC1)c1cc(F)ccc1F
