uniprot	gene	inchikey	smiles
A5X5Y0	HTR3E	DIHXJZHAIHGSAW-UHFFFAOYSA-N	NC(N)=N/C(N)=N/c1cccc(Cl)c1
A5X5Y0	HTR3E	HKPHVFFQXHMOHX-UHFFFAOYSA-N	N=C(N)Nc1ccccc1Cl
A5X5Y0	HTR3E	IUNFWMWQNWQIFS-UHFFFAOYSA-N	N=C(N)Nc1ccc(C(F)(F)F)cc1
A5X5Y0	HTR3E	WLVCZYGIAIOYFH-UHFFFAOYSA-N	CN1CCN(c2nc3ccccc3c3c2CCCC3)CC1
A5X5Y0	HTR3E	BUXACHZAYWAZJL-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1cc(Cl)cc(Cl)c1
A5X5Y0	HTR3E	PKQYVFHRKFDVCH-UHFFFAOYSA-N	Cc1ccc(NC(=N)N)cc1
A5X5Y0	HTR3E	PDOCNPCPPLPXRV-UHFFFAOYSA-N	Nc1nc2ccc(Cl)cc2[nH]1
A5X5Y0	HTR3E	ILEIGUXOYKZHRK-UHFFFAOYSA-N	Cc1ccc(NC(=N)NC(=N)N)cc1
A5X5Y0	HTR3E	VEFKMPXOOGXXSQ-UHFFFAOYSA-N	Cc1ccc2c(c1)nc(N1CCNCC1)n2Cc1ccccc1
A5X5Y0	HTR3E	RDAXAGXJSCEYLT-UHFFFAOYSA-N	Clc1ccc2c(c1)nc(N1CCNCC1)n2Cc1ccccc1
A5X5Y0	HTR3E	PXNBOFBSFXZTES-UHFFFAOYSA-N	N=C(N)Nc1cc(Cl)cc(Cl)c1
A5X5Y0	HTR3E	ZJAWVBLMRPEUPW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc(Cl)c(Cl)c1
A5X5Y0	HTR3E	NNRSVGLUJAPMQD-UHFFFAOYSA-N	N=C(N)Nc1ccc(Cl)c(Cl)c1
A5X5Y0	HTR3E	HTYFFCPFVMJTKM-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc(Cl)cc1
A5X5Y0	HTR3E	MKWFJPZMYHPQIA-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccccc1Cl
A5X5Y0	HTR3E	VGFALHATLLBXIT-UHFFFAOYSA-N	COc1ccc(NC(=N)N)cc1
A5X5Y0	HTR3E	LWLBVIFUVSUSAY-UHFFFAOYSA-N	c1ccc2cc(N3CCNCC3)ccc2c1
A5X5Y0	HTR3E	XRXDAJYKGWNHTQ-UHFFFAOYSA-N	c1ccc2nc(N3CCNCC3)ccc2c1
A5X5Y0	HTR3E	LIIRNJNGOKYCIP-UHFFFAOYSA-N	Cc1ccc(NC(=N)NC(=N)N)cc1Cl
A5X5Y0	HTR3E	RDLIBCPWPNCFBW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc2ccccc2c1
A5X5Y0	HTR3E	CFHPNABTZSOBQJ-UHFFFAOYSA-N	Cc1cccc(NC(=N)NC(=N)N)c1
A5X5Y0	HTR3E	HASGWVOTHYCRIP-UHFFFAOYSA-N	N=C(N)Nc1ccc(Cl)c(C(F)(F)F)c1
A5X5Y0	HTR3E	WEOIHIYCKWSSBW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1cccc([N+](=O)[O-])c1
A5X5Y0	HTR3E	JZSPAHAWDCQCEX-UHFFFAOYSA-N	N=C(N)NCCc1cccc(Cl)c1
A5X5Y0	HTR3E	YEYAKZXEBSVURO-UHFFFAOYSA-N	CCN(CC)CCNC(=O)c1ccc(N)c(Cl)c1
A5X5Y0	HTR3E	FELGMEQIXOGIFQ-UHFFFAOYSA-N	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
A5X5Y0	HTR3E	MFWNKCLOYSRHCJ-UHFFFAOYSA-N	CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
A5X5Y0	HTR3E	FFNWMBDISAYHDC-UHFFFAOYSA-N	CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC
A5X5Y0	HTR3E	WPVVMKYQOMJPIN-UHFFFAOYSA-N	NC1CCN(c2cccc(Cl)n2)CC1
A5X5Y0	HTR3E	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
