uniprot	gene	inchikey	smiles
O75845	SC5D	NSQNZEUFHPTJME-UHFFFAOYSA-N	NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1
O75845	SC5D	KTDZCOWXCWUPEO-UHFFFAOYSA-N	CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1
O75845	SC5D	JHBIMJKLBUMNAU-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1
O75845	SC5D	LNPDTQAFDNKSHK-UHFFFAOYSA-N	Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
O75845	SC5D	IODOBBFRLZLCJR-UHFFFAOYSA-N	Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
O75845	SC5D	RZJQGNCSTQAWON-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
O75845	SC5D	SOYCMDCMZDHQFP-UHFFFAOYSA-N	Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1
O75845	SC5D	SYTBZMRGLBWNTM-UHFFFAOYSA-N	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
O75845	SC5D	RZEKVGVHFLEQIL-UHFFFAOYSA-N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
O75845	SC5D	HYWYRSMBCFDLJT-UHFFFAOYSA-N	CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
O75845	SC5D	CGIGDMFJXJATDK-UHFFFAOYSA-N	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
