uniprot	gene	inchikey	smiles
O95264	HTR3B	DIHXJZHAIHGSAW-UHFFFAOYSA-N	NC(N)=N/C(N)=N/c1cccc(Cl)c1
O95264	HTR3B	HKPHVFFQXHMOHX-UHFFFAOYSA-N	N=C(N)Nc1ccccc1Cl
O95264	HTR3B	IUNFWMWQNWQIFS-UHFFFAOYSA-N	N=C(N)Nc1ccc(C(F)(F)F)cc1
O95264	HTR3B	WLVCZYGIAIOYFH-UHFFFAOYSA-N	CN1CCN(c2nc3ccccc3c3c2CCCC3)CC1
O95264	HTR3B	BUXACHZAYWAZJL-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1cc(Cl)cc(Cl)c1
O95264	HTR3B	PKQYVFHRKFDVCH-UHFFFAOYSA-N	Cc1ccc(NC(=N)N)cc1
O95264	HTR3B	PDOCNPCPPLPXRV-UHFFFAOYSA-N	Nc1nc2ccc(Cl)cc2[nH]1
O95264	HTR3B	ILEIGUXOYKZHRK-UHFFFAOYSA-N	Cc1ccc(NC(=N)NC(=N)N)cc1
O95264	HTR3B	VEFKMPXOOGXXSQ-UHFFFAOYSA-N	Cc1ccc2c(c1)nc(N1CCNCC1)n2Cc1ccccc1
O95264	HTR3B	RDAXAGXJSCEYLT-UHFFFAOYSA-N	Clc1ccc2c(c1)nc(N1CCNCC1)n2Cc1ccccc1
O95264	HTR3B	PXNBOFBSFXZTES-UHFFFAOYSA-N	N=C(N)Nc1cc(Cl)cc(Cl)c1
O95264	HTR3B	ZJAWVBLMRPEUPW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc(Cl)c(Cl)c1
O95264	HTR3B	NNRSVGLUJAPMQD-UHFFFAOYSA-N	N=C(N)Nc1ccc(Cl)c(Cl)c1
O95264	HTR3B	HTYFFCPFVMJTKM-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc(Cl)cc1
O95264	HTR3B	MKWFJPZMYHPQIA-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccccc1Cl
O95264	HTR3B	VGFALHATLLBXIT-UHFFFAOYSA-N	COc1ccc(NC(=N)N)cc1
O95264	HTR3B	LWLBVIFUVSUSAY-UHFFFAOYSA-N	c1ccc2cc(N3CCNCC3)ccc2c1
O95264	HTR3B	XRXDAJYKGWNHTQ-UHFFFAOYSA-N	c1ccc2nc(N3CCNCC3)ccc2c1
O95264	HTR3B	LIIRNJNGOKYCIP-UHFFFAOYSA-N	Cc1ccc(NC(=N)NC(=N)N)cc1Cl
O95264	HTR3B	RDLIBCPWPNCFBW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1ccc2ccccc2c1
O95264	HTR3B	CFHPNABTZSOBQJ-UHFFFAOYSA-N	Cc1cccc(NC(=N)NC(=N)N)c1
O95264	HTR3B	HASGWVOTHYCRIP-UHFFFAOYSA-N	N=C(N)Nc1ccc(Cl)c(C(F)(F)F)c1
O95264	HTR3B	WEOIHIYCKWSSBW-UHFFFAOYSA-N	N=C(N)NC(=N)Nc1cccc([N+](=O)[O-])c1
O95264	HTR3B	JZSPAHAWDCQCEX-UHFFFAOYSA-N	N=C(N)NCCc1cccc(Cl)c1
O95264	HTR3B	FELGMEQIXOGIFQ-UHFFFAOYSA-N	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
O95264	HTR3B	MFWNKCLOYSRHCJ-UHFFFAOYSA-N	CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
O95264	HTR3B	FFNWMBDISAYHDC-UHFFFAOYSA-N	CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC
O95264	HTR3B	WPVVMKYQOMJPIN-UHFFFAOYSA-N	NC1CCN(c2cccc(Cl)n2)CC1
O95264	HTR3B	YEYAKZXEBSVURO-UHFFFAOYSA-N	CCN(CC)CCNC(=O)c1ccc(N)c(Cl)c1
O95264	HTR3B	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
