uniprot	gene	inchikey	smiles
P78396	CCNA1	HPTMTYKYKUKYCQ-UHFFFAOYSA-N	Cc1ccc(Nc2cc(-c3ccccc3O)ncn2)cc1NS(C)(=O)=O
P78396	CCNA1	KOODMIUJLQTAQY-UHFFFAOYSA-N	Cc1ccc(Nc2cc(-c3cccc(N)c3)ncn2)cc1NS(=O)(=O)c1cn(C)cn1
P78396	CCNA1	YUTLWCQIOXIPAP-UHFFFAOYSA-N	COc1ccccc1-c1cc(Nc2ccc(C)c(NS(C)(=O)=O)c2)ncn1
P78396	CCNA1	CXQRKICWSCAUGW-UHFFFAOYSA-N	Cc1ccc(Nc2cc(-c3ccccc3)ncn2)cc1NS(C)(=O)=O
P78396	CCNA1	PMXCMJLOPOFPBT-HNNXBMFYSA-N	CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1
P78396	CCNA1	MTKCOKFSICWGPP-UHFFFAOYSA-N	Nc1cccc(C(=O)c2sc(Nc3ccccc3)nc2N)c1
P78396	CCNA1	UTBSBSOBZHXMHI-CABCVRRESA-N	CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@H]3CCCC[C@H]3N)nc21
P78396	CCNA1	BTIHMVBBUGXLCJ-OAHLLOKOSA-N	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
P78396	CCNA1	QJWIKMKAGFNAJH-UHFFFAOYSA-N	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O
P78396	CCNA1	VUUCDNZACXXJSO-UHFFFAOYSA-N	CN1CCN(c2ccc(Nc3nc(N)c(C(=O)c4c(F)cccc4F)s3)cc2)CC1
P78396	CCNA1	KDKUVYLMPJIGKA-UHFFFAOYSA-N	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
P78396	CCNA1	HQHSJJZIICGOIX-UHFFFAOYSA-N	Nc1nccc(-c2c[nH]c3ncccc23)n1
P78396	CCNA1	OUSFTKFNBAZUKL-UHFFFAOYSA-N	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
P78396	CCNA1	HKSZLNNOFSGOKW-FYTWVXJKSA-N	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
